request_date,site_id,controller_name,main_controller_name,cache_behavior,status_code,num_requests,response_time
2018-10-16 00:00:00.000,501,Page-Include,Home-Show,HIT,200,153,3818
2018-10-16 00:00:00.000,302,Cart-MiniCart,Product-Show,MISS,200,229,712421
2018-10-28 00:00:00.000,120,Product-GetTile,Product-GetTiles,HIT,200,5298,5356
2018-10-16 00:00:00.000,302,Page-Include,Wishlist-Favorites,HIT,200,19,87
2018-10-16 00:00:00.000,501,__SYSTEM__Slot-Render,Order-History,HIT,200,1,5
2018-10-16 00:00:00.000,121,Page-Include,Page-Show,HIT,200,124,314
2018-10-16 00:00:00.000,111,__SYSTEM__Slot-Request,Loyalty-Invite,MISSANDSTORE,200,6,105
2018-10-16 00:00:00.000,116,Product-ShowInCategory,Lancome-IncludeHeaderSignUp,MISS,200,14,194
2018-10-16 00:00:00.000,111,Home-IncludeHeaderCustomerInfo,Account-PasswordResetDialog,MISS,200,4,51
2018-10-16 00:00:00.000,117,DataLayer-GetNonCacheableInformation,Search-ShowContent,MISS,200,247,1845544
2018-10-16 00:00:00.000,112,CustomerService-Show,CSSUtil-AgentInfoInHeader,MISS,200,11,112
2018-10-16 00:00:00.000,102,Search-ShowContent,Home-IncludeSignoutLink,HIT,200,1,1
2018-10-16 00:00:00.000,302,Page-Include,Login-UtilityLogin,MISS,200,131,4757
2018-10-16 00:00:00.000,116,Home-IncludeHeaderCustomerInfoSignedOut,Wishlist-Add,HIT,200,105,64
2018-10-28 00:00:00.000,113,Page-Include,Account-Show,HIT,200,2888,495
2018-10-28 00:00:00.000,903,CustomerService-LeftNav,CustomerService-ContactUsForm,HIT,200,185,21
2018-10-16 00:00:00.000,301,Stores-Show,Newsletter-Subscribe,HIT,200,5,3
2018-10-16 00:00:00.000,106,Newsletter-Subscribe,DemandwareRnR-WriteProductReview,HIT,200,1,0
2018-10-16 00:00:00.000,301,Resources-Load,COShipping-UpdateAddressDetails,HIT,200,1,1
2018-10-16 00:00:00.000,1103,Page-Include,Cart-Show,HIT,200,80,497
2018-10-16 00:00:00.000,106,UDPro-Show,Utils-CSRFInputField,MISS,200,16,257
2018-10-16 00:00:00.000,501,Product-SearchHitTile,Search-Show,MISSANDSTORE,200,16,6411
2018-10-16 00:00:00.000,904,Search-Show,Page-Include,MISSANDSTORE,200,20,2313
2018-11-21 00:00:00.000,601,Cart-MiniCart,Page-Show,MISS,200,173,5100
2018-10-16 00:00:00.000,303,Page-ShowContentPage,Estore-IncludeHeaderPromo,MISS,200,36,1181
2018-10-16 00:00:00.000,903,Gigya-Register,__SYSTEM__Slot-Render,HIT,200,1,1
2018-10-28 00:00:00.000,901,Page-Include,AccountConfirmation-Show,HIT,200,311,55
2018-10-16 00:00:00.000,302,AutoReplenishment-UpdateDeliveryInterval,DataLayer-GetCustomerInformation,MISS,200,1,5
2018-10-16 00:00:00.000,903,Account-SetNewPassword,Cart-MiniCart,MISS,200,4,344
2018-10-16 00:00:00.000,903,Home-UpdatePageContext,Newsletter-Landing,MISS,200,16,262
2018-10-28 00:00:00.000,308,CookiePolicy-ShowBanner,Product-Variation,MISS,200,15,88
2018-10-16 00:00:00.000,111,Newsletter-Subscribe,AutoReplenishment-SaveOrderChanges,HIT,200,4,1
2018-10-16 00:00:00.000,112,Home-IncludeHeaderMenu,Search-ShowContent,HIT,200,156,300
2018-10-20 00:00:00.000,113,COShipping-UpdateAddressDetails,Home-UpdatePageContext,MISS,200,17,144
2018-10-16 00:00:00.000,113,Wishlist-Favorites,__SYSTEM__Slot-Render,MISSANDSTORE,200,1,50
2018-10-28 00:00:00.000,308,Estore-IncludeHeaderPromo,Account-EditProfile,MISS,200,25,465
2018-10-16 00:00:00.000,106,Home-IncludeSigninLink,Home-Show,MISSANDSTORE,200,20,178
2018-10-16 00:00:00.000,102,Resources-Load,UDWishlist-AddFavorite,HIT,200,37,56
2018-10-30 00:00:00.000,111,Home-IncludeHeader,Compare-Show,HIT,200,1,0
2018-10-30 00:00:00.000,118,DataLayer-GetNonCacheableInformation,Product-Show,MISS,200,1655,36152
2018-10-16 00:00:00.000,113,Cart-MiniCart,ReportingEvent-Start,MISS,200,1,24
2018-10-28 00:00:00.000,304,Page-Include,Login-OAuthReentryFacebook,MISS,200,1,8
2018-10-16 00:00:00.000,116,Home-UpdatePageContext,Product-Variation,MISS,200,50,1189
2018-10-16 00:00:00.000,112,Search-Show,__SYSTEM__Slot-Request,MISSANDSTORE,200,110,56419
2018-10-28 00:00:00.000,309,Page-Tile,DemandwareRnR-WriteProductReview,HIT,200,6,1
2018-10-16 00:00:00.000,903,NYXOrder-TrackOrder,Cart-MiniCart,MISS,200,9,386
2018-10-30 00:00:00.000,309,__SYSTEM__Slot-Render,AutoReplenishment-SaveOrderChanges,HIT,200,60,7
2018-10-16 00:00:00.000,901,Home-IncludeSignoutLink,Home-Show,HIT,200,76,59
2018-10-16 00:00:00.000,106,Account-UploadProfileImage,Page-Include,MISSANDSTORE,200,1,65
2018-10-22 00:00:00.000,115,Home-UpdatePageContext,Search-ShowContent,MISS,200,2,16
2018-10-22 00:00:00.000,601,Home-IncludeHeaderMenu,UDPro-Schools,HIT,200,21,6
2018-10-20 00:00:00.000,1002,Account-Show,Estore-IncludeHeaderPref,MISS,200,3,21
2018-10-21 00:00:00.000,902,Wishlist-Search,Resources-Load,MISSANDSTORE,200,1,55
2018-10-16 00:00:00.000,1103,GiftRegistry-AddProduct,Newsletter-Subscribe,HIT,200,15,16
2018-10-22 00:00:00.000,106,Address-Delete,Page-Include,HIT,200,116,15
2018-10-28 00:00:00.000,601,__SYSTEM__Slot-Render,Search-ShowContent,MISSANDSTORE,200,4,165
2018-10-30 00:00:00.000,107,NewsletterPushes-FooterMobile,Stores-ShowMap,MISS,200,42,494
2018-10-16 00:00:00.000,109,Home-IncludeHeader,KiehlsNavigation-ShowNewsletterForm,HIT,200,43,24
2018-10-30 00:00:00.000,109,Page-Tile,Newsletter-Unsubscribe,HIT,200,19,3
2018-11-21 00:00:00.000,112,Home-IncludeWelcomeMessage,COCheckout-Submit,MISSANDSTORE,200,1,7
2018-10-16 00:00:00.000,116,Minicart-StoreCartSubtotals,Wishlist-Add,MISS,200,10,121
2018-10-16 00:00:00.000,103,Estore-IncludeHeaderPref,SkinPro-Results,MISS,200,9,125
2018-10-16 00:00:00.000,116,Lancome-IncludeHeaderSignUp,Account-PasswordResetDialog,MISS,200,8,111
2018-11-21 00:00:00.000,116,Home-IncludeHeaderMenu,Account-SetNewPasswordConfirm,HIT,200,21,14
2018-10-16 00:00:00.000,303,Newsletter-ConfirmOptin,__SYSTEM__Slot-Render,HIT,200,2,8
2018-10-16 00:00:00.000,116,Account-Show,Utils-CSRFInputField,MISS,200,40,570
2018-10-28 00:00:00.000,306,Page-Include,CompareProducts-Show,MISS,200,111,599
2018-10-16 00:00:00.000,904,Newsletter-Subscribe,Address-SetDefault,HIT,200,1,0
2018-11-21 00:00:00.000,304,Page-Include,Product-GetBonusProducts,HIT,200,715,120
2018-10-28 00:00:00.000,304,Navigation-GetNavigationByCategory,YSLHowtoVideos-ShowVideo,HIT,200,94,10
2018-10-21 00:00:00.000,113,Quiz-Show,UserStatus-Show,MISS,200,2,27
2018-10-16 00:00:00.000,302,UDSkin-Show,Page-Include,MISS,200,4,27
2018-10-16 00:00:00.000,1101,Home-IncludeHeaderMenu,SC_Account-AboutSkin,HIT,200,10,6
2018-10-16 00:00:00.000,114,Home-IncludeHeaderCustomerInfo,Page-Show,MISS,200,154,11000
2018-10-16 00:00:00.000,109,Home-UpdatePageContext,EmailBackInStockDoubleOptin-ConfirmOptin,MISS,200,1,9
2018-10-16 00:00:00.000,112,Product-GetTile,MySamples-Show,HIT,200,3,3
2019-03-20 00:00:00.000,116,Page-Include,Engraving-AddMessages,MISS,200,68,457
2018-11-21 00:00:00.000,308,Estore-IncludeHeaderUtilityNavigation,Address-List,MISS,200,2,71
2018-10-16 00:00:00.000,121,Resources-Load,Search-Show,HIT,200,194,4324
2018-10-16 00:00:00.000,111,Resources-Load,Wishlist-RemoveFavorite,MISSANDSTORE,200,1,175
2018-10-16 00:00:00.000,120,Home-IncludeHeaderMenu,Account-StartRegister,HIT,200,21,20
2018-10-16 00:00:00.000,1003,Stores-Show,__SYSTEM__Slot-Request,HIT,200,21,704
2018-10-20 00:00:00.000,112,Address-List,Home-IncludeHeader,HIT,200,10,4
2018-10-16 00:00:00.000,116,AddedToCart-ShowPopup,__SYSTEM__Slot-Request,HIT,200,51,37
2018-10-30 00:00:00.000,112,__SYSTEM__Slot-Render,Compare-Show,HIT,200,36,4
2018-11-21 00:00:00.000,305,__SYSTEM__Slot-Request,COShipping-Start,HIT,200,88,13
2018-10-16 00:00:00.000,904,Search-Show,Newsletter-Subscribe,MISSANDSTORE,200,7,1143
2018-10-16 00:00:00.000,306,Home-IncludeHeaderCustomerInfo,Gigya-Register,MISS,200,2,22
2018-10-16 00:00:00.000,112,Resources-Load,Stores-Show,MISSANDSTORE,200,7,1008
2018-11-21 00:00:00.000,114,ProductFinder-MiniProductDetails,ProductFinder-EmbeddedResults,MISSANDSTORE,200,65,2082
2018-10-16 00:00:00.000,902,Wishlist-ShowOther,Home-IncludeWelcomeMessage,HIT,200,1,1
2018-10-16 00:00:00.000,111,__SYSTEM__Slot-Request,GiftCert-Purchase,MISSANDSTORE,200,2,18
2018-10-16 00:00:00.000,117,Home-IncludeHeaderCustomerInfo,Account-Show,MISS,200,118,4849
2018-10-28 00:00:00.000,301,Newsletter-Subscribe,Stores-ShowMap,HIT,200,74,8
2018-10-16 00:00:00.000,114,COShipping-Start,DataLayer-GetNonCacheableInformation,MISS,200,4,135
2018-10-20 00:00:00.000,114,Product-Variation,Lancome-PromotionAlert,MISS,200,9792,291899
2018-10-16 00:00:00.000,120,DataLayer-GetNonCacheableInformation,COSamples-ExpressCheckout,MISS,200,31,640
2018-10-16 00:00:00.000,117,Page-Show,Resources-Load,MISSANDSTORE,200,4,868
2018-10-28 00:00:00.000,113,Home-IncludeHeaderMenu,Home-Show,MISSANDSTORE,200,7,1916
2018-10-28 00:00:00.000,302,Home-IncludeHeaderCustomerInfo,COShipping-UpdateAddressDetails,MISS,200,1,12
2018-10-22 00:00:00.000,109,Home-IncludeHeader,COSamples-ExpressCheckout,HIT,200,1,0
2018-10-28 00:00:00.000,308,Home-IncludeHeader,Address-List,HIT,200,27,34
2018-11-21 00:00:00.000,801,Resources-Load,Search-Show,HIT,200,16408,19902
2018-10-16 00:00:00.000,901,__SYSTEM__Slot-Request,Product-ShowInCategory,MISSANDSTORE,200,31,745
2018-10-28 00:00:00.000,904,Newsletter-Subscribe,Order-History,HIT,200,49,9
2018-10-21 00:00:00.000,116,GiftFinder-Results,Page-Include,HIT,200,9,0
2018-10-16 00:00:00.000,109,Home-UpdatePageContext,Cart-CheckoutCart,MISS,200,104,8001
2018-10-28 00:00:00.000,117,Home-IncludeHeaderCustomerInfo,Wishlist-Add,MISS,200,149,1321
2018-10-21 00:00:00.000,103,SkinPro-Home,Home-IncludeHeaderMenu,HIT,200,3,3
2018-10-30 00:00:00.000,115,DataLayer-GetCustomerInformation,Stores-Show,MISS,200,33,210
2018-10-22 00:00:00.000,106,__SYSTEM__Slot-Render,COBilling-Start,MISSANDSTORE,200,1,11
2018-10-16 00:00:00.000,121,Page-IncludeFooter,Utils-CSRFInputField,MISS,200,3,62
2018-11-21 00:00:00.000,301,Product-GetTile,Product-GetTiles,HIT,200,16198,20282
2018-10-28 00:00:00.000,122,Estore-IncludeHeaderUtilityNavigation,Product-Show,MISS,200,2664,35421
2018-10-30 00:00:00.000,121,Page-Include,Stores-ShowMap,MISS,200,1,6
2018-11-21 00:00:00.000,304,Page-Include,YSLNavigation-GetHeaderTop,HIT,200,60,11
2018-11-21 00:00:00.000,106,Home-IncludeSignoutLink,Order-History,HIT,200,497,106
2018-10-22 00:00:00.000,103,Estore-IncludeHeaderUtilityNavigation,Search-ShowContent,MISS,200,21,370
2018-11-21 00:00:00.000,1101,__SYSTEM__Slot-Render,Product-Show,MISSANDSTORE,200,9,298
2018-10-22 00:00:00.000,309,Home-IncludeHeaderMenu,AutoReplenishment-Manage,HIT,200,7,5
2018-10-30 00:00:00.000,501,__SYSTEM__Slot-Render,SiteMap-Start,HIT,200,24,3
2018-10-16 00:00:00.000,109,Home-IncludeWelcomeMessage,Home-Show,MISSANDSTORE,200,24,564
2018-10-16 00:00:00.000,304,CustomerService-ContactUsForm,YSLNavigation-GetHeaderTop,MISS,200,10,142
2018-10-16 00:00:00.000,111,GiftCert-Purchase,CustomerService-LeftNav,HIT,200,1,1
2018-10-16 00:00:00.000,1001,Estore-IncludeHeaderPromo,Account-EditProfile,MISS,200,1,16
2018-10-16 00:00:00.000,306,Home-Show,Home-UpdatePageContext,MISS,200,91,5769
2018-10-16 00:00:00.000,113,ColorMirror-Show,Home-IncludeHeader,MISS,200,1,5
2018-10-16 00:00:00.000,118,Search-Show,__SYSTEM__Slot-Render,HIT,200,58,1421
2018-11-21 00:00:00.000,1101,Newsletter-Subscribe,Search-Show,HIT,200,4249,831
2018-10-22 00:00:00.000,113,__SYSTEM__Slot-Render,Product-ShowInCategory,HIT,200,475,84
2018-11-21 00:00:00.000,113,YSLNavigation-GetHeaderTop,Product-Variation,MISS,200,110,1138
2018-11-21 00:00:00.000,303,Minicart-StoreCartSubtotals,Home-Show,MISS,200,19890,156616
2018-10-16 00:00:00.000,117,GiftFinder-Results,Lancome-IncludeHeaderSignUp,MISS,200,1,5
2018-10-16 00:00:00.000,111,Home-IncludeHeaderCustomerInfoSignedOut,Stores-Show,HIT,200,3,1
2018-10-16 00:00:00.000,1101,Resources-Load,Product-ShowInCategory,MISSANDSTORE,200,2,291
2018-10-16 00:00:00.000,117,Home-IncludeHeaderCustomerInfo,GiftCert-Edit,MISS,200,1,9
2018-10-16 00:00:00.000,306,Stores-Show,Page-Include,MISS,200,19,381
2018-10-16 00:00:00.000,1101,Resources-Load,CustomerService-ContactUsForm,HIT,200,24,56
2018-10-16 00:00:00.000,122,Stores-ShowMap,Page-Include,MISSANDSTORE,200,3,60
2018-10-16 00:00:00.000,1002,Stores-Show,Estore-IncludeHeaderPref,MISS,200,2,23
2018-10-30 00:00:00.000,121,CookiePolicy-ShowBanner,Pro-Signup,MISS,200,1,8
2018-10-16 00:00:00.000,501,Estore-IncludeHeaderPromo,Search-ShowContent,MISS,200,4,78
2018-10-16 00:00:00.000,901,Resources-Load,NYXOrder-TrackOrder,HIT,200,52,148
2018-10-16 00:00:00.000,307,Estore-IncludeHeaderUtilityNavigation,Page-Show,MISS,200,26,517
2018-10-16 00:00:00.000,1004,Estore-IncludeHeaderUtilityNavigation,Stores-Show,MISS,200,39,1792
2018-10-16 00:00:00.000,302,UDPro-Login,Home-IncludeHeaderCustomerInfo,MISS,200,8,74
2018-10-16 00:00:00.000,109,Page-GetContent,Search-ShowContent,HIT,200,53,81
2018-10-16 00:00:00.000,111,Home-IncludeHeaderCustomerInfoSignedOut,DemandwareRnR-WriteCustomerReply,HIT,200,3,1
2018-10-28 00:00:00.000,121,__SYSTEM__Slot-Render,Account-StartRegister,MISSANDSTORE,200,1,7
2018-10-16 00:00:00.000,113,Home-IncludeHeaderCustomerInfo,Page-ShowContentPage,MISS,200,1,8
2018-10-16 00:00:00.000,106,ReportingEvent-Start,Cart-Show,MISS,200,180,395879
2018-11-21 00:00:00.000,1003,Home-IncludeHeaderMenu,TopSlot-GetStoreLocatorQueryString,HIT,200,26,14
2018-10-16 00:00:00.000,904,Home-IncludeHeaderMenu,Home-Show,HIT,200,201,2850
2018-10-22 00:00:00.000,115,Home-UpdatePageContext,Account-StartRegister,MISS,200,51,478
2018-11-21 00:00:00.000,1101,Home-IncludeHeaderCustomerInfo,Stores-Find,MISS,200,1,13
2018-10-16 00:00:00.000,109,ReportingEvent-Start,Wishlist-AddFavorite,MISS,200,1,3
2018-10-21 00:00:00.000,309,Home-IncludeHeaderCustomerInfoSignedOut,Product-Show,HIT,200,18339,3633
2018-10-16 00:00:00.000,112,Compare-Show,LiveChat-Tracking,MISS,200,1,4
2018-10-16 00:00:00.000,306,Account-Show,Page-Include,HIT,200,7,30
2018-10-16 00:00:00.000,116,Home-IncludeHeader,SiteMap-Start,HIT,200,4,0
2018-10-16 00:00:00.000,903,Home-Show,Home-UpdatePageContext,MISS,200,100,17621
2018-10-16 00:00:00.000,306,COSingleCheckout-Start,Home-IncludeHeader,HIT,200,2,0
2018-10-16 00:00:00.000,1001,Account-EditProfile,DataLayer-GetNonCacheableInformation,MISS,200,1,5
2018-10-16 00:00:00.000,1004,SiteMap-Start,Cart-MiniCart,MISS,200,1,26
2018-11-21 00:00:00.000,115,Home-IncludeHeader,Product-ShowInCategory,MISS,200,214,5996
2018-10-30 00:00:00.000,115,__SYSTEM__Slot-Request,Search-Show,MISSANDSTORE,200,56871,403006
2018-10-16 00:00:00.000,103,SendToFriend-Start,Home-IncludeHeader,HIT,200,18,3
2018-10-16 00:00:00.000,115,Order-History,Page-Include,MISSANDSTORE,200,1,32
2018-11-21 00:00:00.000,1302,__SYSTEM__Slot-Request,Search-ShowContent,MISSANDSTORE,200,27,151
2018-10-16 00:00:00.000,302,Cart-MiniCart,COSingleCheckout-HandleAddresses,MISS,200,1,17
2018-10-16 00:00:00.000,112,Product-GetTile,Cart-Show,HIT,200,142,634
2018-11-21 00:00:00.000,501,CookiePolicy-ShowBanner,Account-StartRegister,MISS,200,20,168
2018-10-16 00:00:00.000,1004,Quiz-SaveResultsAjax,Newsletter-Subscribe,HIT,200,4,2
2018-10-16 00:00:00.000,121,Page-Include,UDSkin-Calibrator,MISS,200,1,5
2018-10-20 00:00:00.000,109,Account-Show,Utils-CSRFInputField,MISS,200,210,2298
2018-10-28 00:00:00.000,601,ReportingEvent-Start,Stores-Show,MISS,200,9,35
2018-10-20 00:00:00.000,112,Compare-Show,Utils-CSRFInputField,MISS,200,3,17
2018-10-16 00:00:00.000,1003,Page-Include,Account-Show,HIT,200,1,3
2018-10-28 00:00:00.000,902,DataLayer-GetCustomerInformation,Stores-Show,MISS,200,1,6
2018-10-28 00:00:00.000,1004,__SYSTEM__Slot-Request,TopSlot-GetStoreLocatorQueryString,HIT,200,1728,202
2018-10-16 00:00:00.000,120,COUtils-RemoveGiftCertificate,Resources-Load,HIT,200,2,2
2018-11-21 00:00:00.000,1202,Page-Include,AutoReplenishment-CancelAROrder,MISS,200,30,202
2018-10-16 00:00:00.000,114,Account-Show,Page-Include,MISSANDSTORE,200,2,64
2018-11-21 00:00:00.000,106,Resources-Load,Order-Search,HIT,200,91,115
2018-10-30 00:00:00.000,106,CookiePolicy-ShowBanner,Quiz-SaveResultsAjax,MISS,200,1,21
2018-10-16 00:00:00.000,903,Wishlist-Show,Page-Include,MISSANDSTORE,200,1,15
2018-10-16 00:00:00.000,113,Account-StartRegister,__SYSTEM__Slot-Render,MISS,200,2,7
2018-10-28 00:00:00.000,1002,Estore-IncludeHeaderPref,Product-Show,MISS,200,63,335
2018-10-16 00:00:00.000,1102,Wishlist-Add,Resources-Load,MISSANDSTORE,200,1,234
2018-10-30 00:00:00.000,103,Page-Include,COCheckout-Show,HIT,200,4105,667
2018-10-16 00:00:00.000,309,Resources-Load,Search-ShowContent,HIT,200,158,950
2018-10-30 00:00:00.000,305,Page-Include,Account-SetNewPassword,HIT,200,11,2
2018-10-28 00:00:00.000,112,Home-IncludeHeaderloginpopupplacementWelcomeback,COCheckout-Submit,HIT,200,6,2
2018-10-16 00:00:00.000,113,YSLNewsletter-GetConfirmationPage,Home-IncludeHeaderMenu,HIT,200,1,1
2018-11-21 00:00:00.000,308,__SYSTEM__Slot-Render,Cart-Show,HIT,200,831,109
2018-10-16 00:00:00.000,901,Home-IncludeHeader,Home-IncludeHeaderCustomerInfo,MISS,200,37,4590
2018-11-21 00:00:00.000,501,Home-IncludeHeader,CustomerService-ContactUsForm,HIT,200,25,3
2018-10-16 00:00:00.000,117,Page-Include,Engraving-AddMessages,HIT,200,20,62
2018-10-30 00:00:00.000,303,Page-Include,DemandwareRnR-WriteCustomerReply,MISS,200,129,1314
2018-10-30 00:00:00.000,1202,Utils-CSRFInputField,Product-Show,MISS,200,933,40852
2018-10-30 00:00:00.000,1101,Physician-IncludeHeaderBlock,SiteMap-Start,MISS,200,4,41
2018-10-20 00:00:00.000,115,Order-History,Minicart-StoreCartSubtotals,MISS,200,2,16
2018-11-21 00:00:00.000,1302,Resources-Load,Page-Show,MISSANDSTORE,200,3,641
2018-10-21 00:00:00.000,801,Product-GetTile,MySamples-Show,MISSANDSTORE,200,1,52
2018-10-16 00:00:00.000,120,Quiz-ShowQuestion,Quiz-Show,MISS,200,11,28050
2018-10-16 00:00:00.000,309,Home-IncludeHeaderCustomerInfoSignedOut,Order-History,HIT,200,10,6
2018-10-28 00:00:00.000,309,Utils-CSRFInputField,Home-Show,MISS,200,12738,69841
2018-10-30 00:00:00.000,116,Cart-MiniCart,ProductFinder-Quiz,MISS,200,9,315
2018-10-16 00:00:00.000,1102,Page-Include,Newsletter-ShowConfirmation,MISSANDSTORE,200,2,61
2018-10-16 00:00:00.000,115,DataLayer-GetCustomerInformation,SiteMap-Start,MISS,200,2,30
2018-10-28 00:00:00.000,901,Home-IncludeWelcomeMessage,Account-StartRegister,HIT,200,134,25
2018-11-21 00:00:00.000,1101,__SYSTEM__Slot-Render,Cart-Show,HIT,200,1997,522
2018-10-28 00:00:00.000,302,Resources-Load,Wishlist-Favorites,HIT,200,55,67
2018-11-21 00:00:00.000,113,Product-SearchHitTile,Search-Show,MISSANDSTORE,200,17168,2286137
2018-10-30 00:00:00.000,308,__SYSTEM__Slot-Request,AddedToCart-ShowPopup,HIT,200,249,107
