recommendation_date,site_id,num_recommender_views,num_product_views,num_clicks,num_cart_adds,num_products_purchased,num_orders,std_attributed_revenue
2020-01-22,109,58558,225829,3335,439,64,45,1805.480000
2020-01-22,112,26388,176658,1760,335,79,68,2375.080000
2020-01-25,109,59993,230851,3518,415,75,58,2078.470000
2020-01-25,112,29511,197430,1971,474,105,85,3134.620000
2020-01-23,109,57257,221938,3121,379,54,42,1529.040000
2020-01-23,112,28223,190445,1995,398,109,88,3279.200000
2020-01-28,109,55270,212455,3022,412,68,56,1792.120000
2020-01-26,112,30845,206164,2210,445,129,99,3379.120000
2020-01-24,109,53725,206301,2818,396,58,53,1600.060000
2020-01-24,112,24015,162153,1577,335,95,76,2899.270000
2020-01-28,112,26742,180042,1840,426,108,87,3209.320000
2020-02-03,109,54408,210876,2984,509,95,75,2779.350000
2020-02-03,112,29074,196494,2027,357,105,88,3049.040000
2020-02-03,106,3452,11079,217,35,11,6,228.030000
2020-02-03,121,1950,7377,91,17,4,4,124.920000
2020-01-26,109,65336,249817,3846,510,97,78,2802.190000
2020-02-03,309,12,60,0,0,0,0,0.000000
2020-02-03,302,4913,17034,174,33,5,4,119.980000
2020-01-31,302,8522,31017,362,69,20,16,356.600000
2020-01-31,121,2005,7494,99,50,8,3,91.420000
2020-01-31,109,66206,250362,3232,494,90,76,2564.630000
2020-01-31,112,27648,187110,1902,385,117,96,3473.220000
2020-01-31,106,4880,16046,307,37,2,2,60.010000
2020-02-05,106,2728,8581,190,23,1,1,38.550000
2020-02-05,302,4650,15975,172,27,7,7,136.620000
2020-02-05,109,64876,251969,3627,611,118,87,3563.010000
2020-02-05,309,115,575,2,0,0,0,0.000000
2020-02-05,112,26552,178611,1744,347,92,78,2915.610000
2020-02-05,121,1398,5100,49,11,2,2,35.040000
2020-02-09,121,1927,7083,92,33,6,4,95.140000
2020-02-09,106,9589,32171,585,124,27,24,514.320000
2020-02-09,109,106895,424492,5508,1290,377,296,11173.540000
2020-02-09,112,37217,248376,2683,518,136,116,4279.960000
2020-02-09,302,7851,28482,329,70,21,19,472.190000
2020-02-09,309,119,595,5,1,0,0,0.000000
2020-02-08,309,65,325,2,1,0,0,0.000000
2020-02-08,109,92970,368770,5293,1244,343,265,9524.600000
2020-02-08,106,9764,31550,541,109,21,17,506.560000
2020-02-08,121,1500,5277,82,14,1,1,25.500000
2020-02-11,109,65319,252738,3615,506,81,67,2230.990000
2020-02-11,121,1690,6240,85,23,0,0,0.000000
2020-02-11,112,27988,187777,1915,357,89,72,2918.560000
2020-02-08,302,7031,24805,318,59,21,21,384.000000
2020-02-08,112,29262,196207,2134,391,78,67,2402.500000
2020-02-11,302,6480,22677,343,71,14,10,369.100000
2020-02-11,309,130,650,1,1,0,0,0.000000
2020-02-11,106,3719,12158,207,28,5,4,98.860000
2020-02-15,109,49630,191361,2743,457,98,74,3085.470000
2020-02-15,112,25870,173033,1786,347,94,77,3037.130000
2020-02-15,121,1918,6513,135,13,8,2,107.260000
2020-02-15,302,6921,23823,392,74,15,13,417.100000
2020-02-15,106,3490,11043,249,14,3,3,59.260000
2020-02-15,309,100,500,2,1,1,1,37.310000
2020-02-12,302,6099,21699,265,43,11,11,201.420000
2020-02-12,112,30689,206317,2096,385,96,76,2745.680000
2020-02-12,106,3354,10793,156,15,4,4,104.780000
2020-02-24,302,4905,16758,259,25,10,9,224.790000
2020-02-24,109,79793,310397,4049,1029,225,173,5663.240000
2020-02-24,112,31310,209599,2160,428,104,83,3363.710000
2020-02-24,309,98,490,2,0,0,0,0.000000
2020-02-24,121,1027,3645,49,6,0,0,0.000000
2020-02-24,106,2762,8860,148,15,3,2,76.840000
2020-02-16,106,3346,10648,170,13,6,4,151.670000
2020-02-16,109,57897,223207,3408,593,111,88,3283.050000
2020-02-26,309,295,1475,6,1,0,0,0.000000
2020-02-26,112,27771,185900,1917,440,122,94,3831.790000
2020-02-26,106,5,17,0,0,0,0,0.000000
