recommendation_date,site_id,recommender_name,num_recommender_views,num_product_views,num_clicks,num_cart_adds,num_products_purchased,num_orders,std_attributed_revenue
2020-01-22,109,product-to-product-PDP-Full-Predictive,18490,92273,1188,103,17,13,428.050000
2020-01-22,109,product-to-product-AddToCart,38069,113816,2097,330,46,37,1357.760000
2020-01-22,112,Real-Time-Recommendations-Add-to-Cart-Popup,16449,82222,1177,246,64,56,1913.000000
2020-01-22,112,Cart-Page-All-Categories,952,4760,27,3,0,0,0.000000
2020-01-22,109,products-in-all-categories-Cart-Page,1999,19740,50,6,1,1,19.670000
2020-01-22,112,Real-Time-Recommendations-PDP,8987,89676,556,86,15,15,462.080000
2020-01-23,109,product-to-product-AddToCart,36232,108320,1865,268,37,32,1074.770000
2020-01-23,112,Real-Time-Recommendations-PDP,9908,98883,698,93,23,21,692.860000
2020-01-23,109,products-in-all-categories-Cart-Page,1770,17533,54,12,2,2,58.500000
2020-01-23,112,Cart-Page-All-Categories,1001,5005,33,3,1,1,19.250000
2020-01-23,112,Real-Time-Recommendations-Add-to-Cart-Popup,17314,86557,1264,302,85,74,2567.100000
2020-01-23,109,product-to-product-PDP-Full-Predictive,19255,96085,1202,99,15,13,395.760000
2020-01-24,112,Real-Time-Recommendations-PDP,8437,84253,513,73,19,16,538.000000
2020-01-24,112,Real-Time-Recommendations-Add-to-Cart-Popup,14704,73530,1034,255,74,61,2290.760000
2020-01-24,109,product-to-product-PDP-Full-Predictive,18135,90400,1014,95,6,6,127.500000
2020-01-24,109,products-in-all-categories-Cart-Page,1380,13709,43,8,1,1,8.320000
2020-01-24,109,product-to-product-AddToCart,34210,102192,1761,293,51,46,1464.240000
2020-01-24,112,Cart-Page-All-Categories,874,4370,30,7,2,2,70.510000
2020-01-25,109,products-in-all-categories-Cart-Page,1844,18181,79,8,3,3,60.790000
2020-01-25,109,product-to-product-PDP-Full-Predictive,19425,96906,1275,104,18,16,627.430000
2020-01-25,112,Real-Time-Recommendations-Add-to-Cart-Popup,18296,91463,1337,349,83,71,2540.010000
2020-01-25,109,product-to-product-AddToCart,38724,115764,2164,303,54,46,1390.250000
2020-01-25,112,Real-Time-Recommendations-PDP,9993,99857,609,118,21,21,557.050000
2020-01-25,112,Cart-Page-All-Categories,1222,6110,25,7,1,1,37.550000
2020-01-26,112,Cart-Page-All-Categories,1148,5740,39,3,1,1,53.230000
2020-01-26,109,products-in-all-categories-Cart-Page,1881,18658,77,14,5,4,132.610000
2020-01-26,109,product-to-product-PDP-Full-Predictive,20715,103329,1341,112,20,18,499.380000
2020-01-26,109,product-to-product-AddToCart,42740,127830,2428,384,72,63,2170.190000
2020-01-26,112,Real-Time-Recommendations-Add-to-Cart-Popup,19251,96252,1504,341,91,76,2420.270000
2020-01-26,112,Real-Time-Recommendations-PDP,10446,104172,667,101,37,30,905.620000
2020-01-27,112,Cart-Page-All-Categories,1035,5175,40,9,3,3,80.630000
2020-01-27,109,product-to-product-PDP-Full-Predictive,17251,86039,1081,102,24,21,841.090000
2020-01-27,112,Real-Time-Recommendations-PDP,8858,88473,582,96,22,21,674.620000
2020-01-27,109,products-in-all-categories-Cart-Page,1756,17395,51,9,4,3,101.920000
2020-01-27,112,Real-Time-Recommendations-Add-to-Cart-Popup,16328,81600,1191,312,67,55,2046.800000
2020-01-27,109,product-to-product-AddToCart,34931,104376,1707,239,47,43,1436.010000
2020-02-05,109,product-to-product-AddToCart,41875,124889,2288,454,80,64,2433.690000
2020-02-05,109,products-in-all-categories-Cart-Page,2516,24875,94,17,4,4,128.130000
2020-02-05,106,Search,19,97,1,0,0,0,0.000000
2020-02-05,302,Checkout,667,4002,23,5,1,1,15.930000
2020-02-05,302,Search,8,48,1,0,0,0,0.000000
2020-02-05,106,Checkout,299,1431,25,11,0,0,0.000000
2020-01-28,109,product-to-product-PDP-Full-Predictive,17819,88882,1102,103,22,18,616.900000
2020-01-28,112,Real-Time-Recommendations-Add-to-Cart-Popup,16355,81760,1211,325,83,69,2404.330000
2020-01-28,109,product-to-product-AddToCart,35766,106902,1855,301,44,40,1139.670000
2020-01-28,109,products-in-all-categories-Cart-Page,1685,16671,65,8,2,2,35.550000
2020-01-28,112,Cart-Page-All-Categories,1078,5390,28,6,1,1,25.650000
2020-01-28,112,Real-Time-Recommendations-PDP,9309,92892,601,95,24,22,779.340000
2020-01-29,112,Cart-Page-All-Categories,923,4615,27,8,2,2,40.040000
2020-01-29,109,product-to-product-AddToCart,41438,123907,2201,358,71,64,2069.020000
2020-01-29,109,product-to-product-PDP-Full-Predictive,20332,101408,1338,125,24,23,704.540000
2020-01-29,109,products-in-all-categories-Cart-Page,2415,23751,64,10,3,3,110.960000
2020-01-29,112,Real-Time-Recommendations-Add-to-Cart-Popup,15720,78610,1162,266,82,64,2457.940000
2020-01-29,112,Real-Time-Recommendations-PDP,9681,96713,600,95,27,25,866.230000
2020-02-05,109,product-to-product-PDP-Full-Predictive,20485,102205,1245,140,34,30,1001.190000
2020-02-05,121,Search-All-Categ,5,30,2,0,0,0,0.000000
2020-02-05,112,Real-Time-Recommendations-PDP,9194,91830,593,80,21,19,671.350000
2020-02-05,106,PDP-real-time,2410,7053,164,12,1,1,38.550000
2020-02-05,309,Einstein-Cart-Page,115,575,2,0,0,0,0.000000
2020-02-05,112,Real-Time-Recommendations-Add-to-Cart-Popup,16448,82231,1127,263,70,60,2207.880000
2020-02-05,121,PDP-RealTime,1096,3288,28,2,1,1,12.590000
2020-02-05,121,Checkout-Real-Time,297,1782,19,9,1,1,22.450000
2020-02-05,112,Cart-Page-All-Categories,910,4550,24,4,1,1,36.390000
2020-02-05,302,PDP-Real-Time,3975,11925,148,22,6,6,120.690000
2020-02-06,121,Checkout-Real-Time,345,2070,14,20,0,0,0.000000
2020-02-06,302,PDP-Real-Time,3992,11976,141,27,6,5,107.430000
2020-02-07,302,Checkout,1170,7020,66,17,5,5,94.790000
2020-02-07,106,Checkout,1687,8111,92,34,3,3,55.390000
2020-02-07,302,Search,15,90,0,0,0,0,0.000000
2020-02-07,109,product-to-product-PDP-Full-Predictive,36749,183217,1709,369,99,87,3082.970000
2020-02-07,112,Real-Time-Recommendations-PDP,9298,92965,554,73,16,14,523.750000
2020-02-07,121,Checkout-Real-Time,255,1530,18,16,4,1,39.790000
2020-02-07,121,PDP-RealTime,1325,3975,40,4,0,0,0.000000
2020-02-07,109,product-to-product-AddToCart,110806,330695,3434,900,248,205,7953.660000
2020-02-07,106,PDP-real-time,11591,34398,555,84,21,20,432.290000
2020-02-07,106,Search,36,194,2,1,1,1,14.200000
2020-02-07,309,Einstein-Cart-Page,111,555,4,3,0,0,0.000000
2020-02-07,302,PDP-Real-Time,5342,16026,232,50,6,5,112.920000
2020-01-30,121,Checkout-Real-Time,9,54,0,0,0,0,0.000000
2020-01-30,109,products-in-all-categories-Cart-Page,1750,17242,39,9,2,2,48.010000
2020-01-30,302,Checkout,105,630,6,5,1,1,16.560000
2020-01-30,121,Search-All-Categ,3,18,1,0,0,0,0.000000
2020-01-30,109,product-to-product-AddToCart,34428,102676,1717,242,54,44,1290.510000
2020-01-30,106,PDP-real-time,163,482,10,0,0,0,0.000000
2020-01-30,302,Search,1,6,0,0,0,0,0.000000
2020-01-30,121,PDP-RealTime,76,228,0,0,0,0,0.000000
2020-01-30,112,Cart-Page-All-Categories,955,4775,29,5,1,1,24.160000
2020-01-30,302,PDP-Real-Time,332,996,8,2,1,1,22.760000
2020-01-30,106,Checkout,16,80,1,1,0,0,0.000000
2020-01-30,112,Real-Time-Recommendations-PDP,9985,99804,576,90,16,16,493.900000
2020-01-30,106,Search,2,12,0,0,0,0,0.000000
2020-01-30,112,Real-Time-Recommendations-Add-to-Cart-Popup,15963,79813,1071,240,57,48,1901.490000
2020-01-30,109,product-to-product-PDP-Full-Predictive,17002,84844,1021,69,12,12,323.850000
