request_date,site_id,api_resource,api_name,api_version,status_code,method,num_requests,response_time,num_requests_bucket1,num_requests_bucket2,num_requests_bucket3,num_requests_bucket4,num_requests_bucket5,num_requests_bucket6,num_requests_bucket7,num_requests_bucket8,num_requests_bucket9,num_requests_bucket10,num_requests_bucket11,api_family
2023-11-11 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,3,29023,0,0,0,0,0,0,0,0,0,0,3,
2023-11-01 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4279,2649796,1876,1539,843,17,3,0,0,0,0,0,1,
2023-10-18 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,725,466327,307,226,188,4,0,0,0,0,0,0,0,
2023-10-28 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4317,2586298,1976,1716,606,14,2,0,0,1,0,1,1,
2023-10-22 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4322,2497869,2002,1764,537,13,4,1,0,0,0,0,1,
2023-10-26 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,5,50025,0,0,0,0,0,0,0,0,0,0,5,
2023-11-12 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4311,2280817,2116,2075,100,17,3,0,0,0,0,0,0,
2023-10-31 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,2,19015,0,0,0,0,0,0,0,0,0,0,2,
2023-11-11 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4313,2246226,2145,2094,60,11,1,1,0,0,0,1,0,
2023-11-08 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4310,2348626,2076,2101,111,15,2,0,2,1,0,2,0,
2023-10-23 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4304,2644080,1869,1663,755,16,0,0,1,0,0,0,0,
2023-10-19 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4288,2609195,1868,1632,761,24,2,1,0,0,0,0,0,
2023-11-14 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4313,2318468,2104,2051,139,15,1,0,0,0,1,0,2,
2023-10-29 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,4,36024,0,0,0,0,0,0,0,0,0,0,4,
2023-10-24 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,10013,0,0,0,0,0,0,0,0,0,0,1,
2023-10-20 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,3,30022,0,0,0,0,0,0,0,0,0,0,3,
2023-10-26 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4317,3215787,1833,1397,791,159,43,19,15,22,9,8,21,
2023-10-20 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4299,2567858,1916,1667,698,15,2,0,0,1,0,0,0,
2023-10-21 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,9004,0,0,0,0,0,0,0,0,0,0,1,
2023-10-27 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,4,38027,0,0,0,0,0,0,0,0,0,0,4,
