activation_date,site_id,registered,source_code_group_id,source_code_status,num_activations,num_source_codes,num_source_code_groups,device_class_code
2020-05-12,106,false,1,INVALID,2,2,1,smartphone
2020-05-12,106,true,1,INVALID,1,1,1,desktop
2020-05-12,109,true,101,ACTIVE,1,1,1,tablet
2020-05-12,113,false,1,INVALID,1,1,1,unrecognized
2020-05-12,113,false,203,ACTIVE,1,1,1,unrecognized
2020-05-12,113,false,501,ACTIVE,1,1,1,unrecognized
2020-05-12,113,false,502,ACTIVE,1,1,1,unrecognized
2020-05-12,113,false,503,ACTIVE,1,1,1,unrecognized
2020-05-12,113,false,504,ACTIVE,1,1,1,unrecognized
2020-05-12,113,false,601,ACTIVE,1,1,1,unrecognized
2020-05-12,113,false,701,ACTIVE,1,1,1,unrecognized
2020-05-12,114,false,303,ACTIVE,1,1,1,smartphone
2020-05-12,116,false,1,INVALID,2,1,1,unrecognized
2020-05-12,309,false,1,INVALID,1,1,1,desktop
2020-05-12,309,true,1,INVALID,1,1,1,desktop
2020-05-12,106,false,1,INVALID,3,3,2,unrecognized
2020-05-12,106,true,1,INVALID,8,5,2,smartphone
2020-05-13,109,false,1,INVALID,172,9,8,smartphone
2020-05-12,109,false,1,INVALID,2,2,2,tablet
2020-05-13,109,false,1,INVALID,75,8,8,unrecognized
2020-05-13,109,false,301,ACTIVE,151,8,8,smartphone
2020-05-13,113,true,1,INVALID,3,3,1,tablet
2020-05-12,109,false,301,ACTIVE,6,2,2,tablet
2020-05-12,109,false,302,ACTIVE,5,2,2,tablet
2020-05-12,109,true,1,INVALID,1,1,1,tablet
2020-05-13,109,false,202,ACTIVE,6,2,2,desktop
2020-05-12,109,true,202,ACTIVE,10,2,2,desktop
2020-05-12,109,true,302,ACTIVE,27,2,2,tablet
2020-05-12,112,false,1201,ACTIVE,1,1,1,desktop
2020-05-12,113,false,504,ACTIVE,1,1,1,smartphone
2020-05-13,106,false,1,INVALID,14,12,5,smartphone
2020-05-13,106,false,1,INVALID,18,17,7,unrecognized
2020-05-12,114,false,1,INVALID,27,6,2,unknown
2020-05-13,106,true,1,INVALID,46,20,6,smartphone
2020-05-12,114,false,1102,ACTIVE,1,1,1,smartphone
2020-05-12,114,false,1301,ACTIVE,1,1,1,unrecognized
2020-05-14,109,false,1,INVALID,158,9,9,smartphone
2020-05-14,106,false,1,INVALID,29,26,7,unrecognized
2020-05-12,114,true,1,INVALID,30,7,2,unknown
2020-05-12,114,true,1,INVALID,9,5,2,unrecognized
2020-05-13,109,false,202,ACTIVE,7,6,6,unrecognized
2020-05-12,116,false,1,INVALID,2,2,2,tablet
2020-05-12,116,false,1103,ACTIVE,1,1,1,unrecognized
2020-05-12,116,true,1,INVALID,3,2,2,tablet
2020-05-12,121,false,801,ACTIVE,2,1,1,smartphone
2020-05-13,109,false,101,ACTIVE,9,4,4,unrecognized
2020-05-12,309,false,1,INVALID,26,5,2,unknown
2020-05-12,309,false,1,INVALID,31,9,2,unrecognized
2020-05-12,309,true,1,INVALID,74,7,2,unknown
2020-05-12,309,true,1,INVALID,8,4,2,unrecognized
