visit_date,site_id,registered,device_class_code,locale_code,step_number,step_name,num_hits,num_visits
2020-10-15,309,false,desktop,cs_CZ,1,CheckoutMethod,749,370
2020-10-15,2501,false,smartphone,en_GB,1,OneStepCheckout - login,420,341
2020-10-15,302,false,smartphone,en_GB,1,CheckoutMethod,3144,326
2020-10-15,309,false,smartphone,cs_CZ,1,CheckoutMethod,743,321
2020-10-15,2501,false,smartphone,en_GB,2,OneStepCheckout - addresses,425,238
2020-10-15,106,false,smartphone,de_DE,1,CheckoutMethod,2553,228
2020-10-15,2501,false,desktop,en_GB,1,OneStepCheckout - login,253,203
2020-10-15,2501,false,desktop,en_GB,2,OneStepCheckout - addresses,514,197
2020-10-15,304,false,smartphone,en_GB,1,OneStepCheckout - login,238,192
2020-10-15,2501,false,smartphone,en_GB,4,OneStepCheckout - preview,230,192
2020-10-15,109,false,smartphone,fr_FR,1,CheckoutMethod,330,180
2020-10-15,2501,false,desktop,en_GB,4,OneStepCheckout - preview,209,179
2020-10-15,2501,false,smartphone,en_GB,3,OneStepCheckout - payment,211,165
2020-10-15,1901,false,smartphone,fr_FR,1,OneStepCheckout - login,180,153
2020-10-15,2501,false,desktop,en_GB,4,Confirmation,153,150
2020-10-15,2301,true,smartphone,fr_FR,3,OneStepCheckout - addresses,176,148
2020-10-15,2501,false,smartphone,en_GB,4,Confirmation,146,146
2020-10-15,2501,false,desktop,en_GB,3,OneStepCheckout - payment,177,144
2020-10-15,2301,false,smartphone,fr_FR,1,Sign In,154,137
2020-10-15,109,false,smartphone,it_IT,1,CheckoutMethod,300,136
2020-10-15,2301,true,smartphone,fr_FR,4,OneStepCheckout - payment,302,133
2020-10-15,109,true,smartphone,fr_FR,1,CheckoutMethod,273,129
2020-10-15,304,false,smartphone,en_GB,2,OneStepCheckout - samples,162,126
2020-10-15,1901,false,smartphone,fr_FR,2,OneStepCheckout - samples,165,123
2020-10-15,302,false,desktop,en_GB,1,CheckoutMethod,786,122
2020-10-15,1901,false,smartphone,fr_FR,3,OneStepCheckout - addresses,139,121
2020-10-15,1901,false,desktop,fr_FR,1,OneStepCheckout - login,139,120
2020-10-15,2301,true,smartphone,fr_FR,1,Sign In,132,119
2020-10-15,304,false,smartphone,en_GB,3,OneStepCheckout - addresses,147,118
2020-10-15,2501,true,smartphone,en_GB,2,OneStepCheckout - addresses,207,117
2020-10-15,109,false,desktop,de_DE,1,CheckoutMethod,224,116
2020-10-15,111,false,smartphone,fr_FR,1,OneStepCheckout - login,140,112
2020-10-15,2501,true,smartphone,en_GB,4,OneStepCheckout - preview,133,111
2020-10-15,117,false,desktop,en_GB,2,OneStepCheckout - samples,120,110
2020-10-15,109,false,desktop,it_IT,1,CheckoutMethod,213,109
2020-10-15,1901,false,desktop,fr_FR,2,OneStepCheckout - samples,125,108
2020-10-15,109,true,smartphone,it_IT,1,CheckoutMethod,268,108
2020-10-15,109,false,smartphone,de_DE,1,CheckoutMethod,247,106
2020-10-15,1901,false,desktop,fr_FR,3,OneStepCheckout - addresses,119,104
2020-10-15,1901,false,smartphone,fr_FR,4,OneStepCheckout - payment,277,104
2020-10-15,109,false,desktop,fr_FR,1,CheckoutMethod,171,103
2020-10-15,117,false,smartphone,en_GB,1,OneStepCheckout - login,125,102
2020-10-15,2501,true,smartphone,en_GB,1,OneStepCheckout - login,127,102
2020-10-15,2501,true,smartphone,en_GB,3,OneStepCheckout - payment,130,101
2020-10-15,117,false,desktop,en_GB,3,OneStepCheckout - addresses,109,100
2020-10-15,304,true,smartphone,en_GB,2,OneStepCheckout - samples,146,98
2020-10-15,2301,true,smartphone,fr_FR,5,OneStepCheckout - preview,134,98
2020-10-15,302,true,smartphone,en_GB,1,CheckoutMethod,1304,98
2020-10-15,2501,true,desktop,en_GB,2,OneStepCheckout - addresses,291,98
2020-10-15,117,false,desktop,en_GB,4,OneStepCheckout - payment,158,97
2020-10-15,1401,true,desktop,ar_SA,1,CheckoutMethod,96,96
