visit_date,site_id,registered,device_class_code,referrer_medium,referrer_source,num_visits,locale_code
2019-07-03,302,false,smartphone,direct,unknown,11246,UNKNOWN_LOCALE
2019-07-03,117,false,smartphone,direct,unknown,9197,UNKNOWN_LOCALE
2019-07-03,902,false,smartphone,direct,unknown,7292,UNKNOWN_LOCALE
2019-07-03,109,false,smartphone,direct,unknown,3218,UNKNOWN_LOCALE
2019-07-03,902,false,smartphone,internal,unknown,2817,UNKNOWN_LOCALE
2019-07-03,904,false,smartphone,direct,unknown,2616,UNKNOWN_LOCALE
2019-07-03,117,false,smartphone,social,Facebook,2461,UNKNOWN_LOCALE
2019-07-03,109,false,desktop,direct,unknown,2396,UNKNOWN_LOCALE
2019-07-03,117,false,smartphone,social,Facebook,2100,UNKNOWN_LOCALE
2019-07-03,904,false,smartphone,social,Instagram,2025,UNKNOWN_LOCALE
2019-07-03,114,false,smartphone,direct,unknown,2013,UNKNOWN_LOCALE
2019-07-03,116,false,smartphone,direct,unknown,1994,UNKNOWN_LOCALE
2019-07-03,114,false,smartphone,search,Google,1869,UNKNOWN_LOCALE
2019-07-03,309,false,smartphone,direct,unknown,1838,UNKNOWN_LOCALE
2019-07-03,302,false,tablet,direct,unknown,1818,UNKNOWN_LOCALE
2019-07-03,109,false,smartphone,search,Google,1811,UNKNOWN_LOCALE
2019-07-03,116,false,desktop,direct,unknown,1781,UNKNOWN_LOCALE
2019-07-03,904,true,smartphone,social,Instagram,1773,UNKNOWN_LOCALE
2019-07-03,904,false,smartphone,social,Instagram,1745,UNKNOWN_LOCALE
2019-07-03,902,false,desktop,direct,unknown,1722,UNKNOWN_LOCALE
2019-07-03,904,false,smartphone,search,Google,1705,UNKNOWN_LOCALE
2019-07-03,902,false,smartphone,search,Google,1699,UNKNOWN_LOCALE
2019-07-03,303,false,smartphone,direct,unknown,1491,UNKNOWN_LOCALE
2019-07-03,904,true,smartphone,direct,unknown,1461,UNKNOWN_LOCALE
2019-07-03,113,false,desktop,direct,unknown,1386,UNKNOWN_LOCALE
2019-07-03,303,false,desktop,direct,unknown,1368,UNKNOWN_LOCALE
2019-07-03,109,false,desktop,search,Google,1316,UNKNOWN_LOCALE
2019-07-03,902,false,smartphone,search,Google,1307,UNKNOWN_LOCALE
2019-07-03,117,false,smartphone,unknown,unknown,1287,UNKNOWN_LOCALE
2019-07-03,113,false,desktop,unknown,unknown,1282,UNKNOWN_LOCALE
2019-07-03,112,false,smartphone,search,Google,1216,UNKNOWN_LOCALE
2019-07-03,904,false,smartphone,internal,unknown,1196,UNKNOWN_LOCALE
2019-07-03,303,false,smartphone,search,Google,1195,UNKNOWN_LOCALE
2019-07-03,902,true,smartphone,direct,unknown,1183,UNKNOWN_LOCALE
2019-07-03,121,false,desktop,direct,unknown,1178,UNKNOWN_LOCALE
2019-07-03,112,false,smartphone,direct,unknown,1139,UNKNOWN_LOCALE
2019-07-03,902,false,desktop,search,Google,1106,UNKNOWN_LOCALE
2019-07-03,302,false,smartphone,search,Google,1026,UNKNOWN_LOCALE
2019-07-03,904,true,smartphone,social,Instagram,977,UNKNOWN_LOCALE
2019-07-03,116,false,smartphone,search,Google,951,UNKNOWN_LOCALE
2019-07-03,106,false,smartphone,direct,unknown,948,UNKNOWN_LOCALE
2019-07-03,106,false,smartphone,search,Google,947,UNKNOWN_LOCALE
2019-07-03,901,false,smartphone,direct,unknown,896,UNKNOWN_LOCALE
2019-07-03,117,false,smartphone,search,Google,859,UNKNOWN_LOCALE
2019-07-03,112,false,desktop,search,Google,858,UNKNOWN_LOCALE
2019-07-03,303,false,desktop,search,Google,847,UNKNOWN_LOCALE
2019-07-03,116,false,desktop,search,Google,846,UNKNOWN_LOCALE
2019-07-03,113,false,smartphone,direct,unknown,843,UNKNOWN_LOCALE
2019-07-03,116,false,smartphone,social,Facebook,841,UNKNOWN_LOCALE
2019-07-03,112,false,smartphone,search,Google,841,UNKNOWN_LOCALE
2019-07-03,112,false,smartphone,internal,unknown,834,UNKNOWN_LOCALE
2019-07-03,302,false,smartphone,internal,unknown,817,UNKNOWN_LOCALE
2019-07-03,903,false,smartphone,direct,unknown,815,UNKNOWN_LOCALE
2019-07-03,309,false,smartphone,search,Google,801,UNKNOWN_LOCALE
2019-07-03,309,false,desktop,direct,unknown,771,UNKNOWN_LOCALE
2019-07-03,114,false,desktop,search,Google,767,UNKNOWN_LOCALE
2019-07-03,904,false,smartphone,search,Google,760,UNKNOWN_LOCALE
2019-07-03,114,false,desktop,direct,unknown,758,UNKNOWN_LOCALE
2019-07-03,303,false,smartphone,unknown,unknown,757,UNKNOWN_LOCALE
2019-07-03,115,false,smartphone,search,Google,756,UNKNOWN_LOCALE
2019-07-03,117,false,desktop,search,Google,748,UNKNOWN_LOCALE
2019-07-03,308,false,smartphone,search,Google,730,UNKNOWN_LOCALE
2019-07-03,117,false,desktop,direct,unknown,720,UNKNOWN_LOCALE
2019-07-03,113,false,smartphone,search,Google,718,UNKNOWN_LOCALE
2019-07-03,302,false,smartphone,search,Google,714,UNKNOWN_LOCALE
2019-07-03,1102,false,smartphone,social,Facebook,710,UNKNOWN_LOCALE
2019-07-03,111,false,smartphone,internal,unknown,699,UNKNOWN_LOCALE
2019-07-03,904,false,smartphone,social,Youtube,671,UNKNOWN_LOCALE
2019-07-03,901,false,smartphone,internal,unknown,652,UNKNOWN_LOCALE
2019-07-03,903,false,smartphone,search,Google,650,UNKNOWN_LOCALE
2019-07-03,117,false,desktop,unknown,unknown,646,UNKNOWN_LOCALE
2019-07-03,121,false,smartphone,direct,unknown,636,UNKNOWN_LOCALE
2019-07-03,106,false,desktop,direct,unknown,633,UNKNOWN_LOCALE
2019-07-03,902,false,desktop,unknown,unknown,626,UNKNOWN_LOCALE
2019-07-03,904,false,smartphone,social,Facebook,623,UNKNOWN_LOCALE
2019-07-03,117,false,smartphone,unknown,unknown,608,UNKNOWN_LOCALE
2019-07-03,904,false,desktop,search,Google,600,UNKNOWN_LOCALE
