visit_date,site_id,registered,ua_class,ua_family,ua_engine,ua_os,ua_os_family,device_class_code,device_market_name,device_brand,num_visits,locale_code
2019-06-26,116,false,Browser,Chrome,WebKit/Blink,Windows 7,Windows,Desktop,unknown,unknown,41293,UNKNOWN_LOCALE
2019-06-26,117,false,Crawler,AhrefsBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,38055,UNKNOWN_LOCALE
2019-06-26,117,false,Browser,Chrome,WebKit/Blink,Windows 7,Windows,Desktop,unknown,unknown,27803,UNKNOWN_LOCALE
2019-06-26,109,false,Browser,Firefox,Gecko,Windows 7,Windows,Desktop,unknown,unknown,27612,UNKNOWN_LOCALE
2019-06-26,303,false,Crawler,Googlebot,unknown,unknown,unknown,Unrecognized,unknown,unknown,24195,UNKNOWN_LOCALE
2019-06-26,303,false,Crawler,MJ12bot,unknown,unknown,unknown,Unrecognized,unknown,unknown,19577,UNKNOWN_LOCALE
2019-06-26,107,false,Crawler,Googlebot,unknown,Android 6.0 Marshmallow,Android,Smartphone,Nexus 5X,LG,17089,UNKNOWN_LOCALE
2019-06-26,904,false,Crawler,Googlebot,unknown,Android 6.0 Marshmallow,Android,Smartphone,Nexus 5X,LG,16289,UNKNOWN_LOCALE
2019-06-26,113,false,Crawler,Qwantify,unknown,unknown,unknown,Unrecognized,unknown,unknown,14780,UNKNOWN_LOCALE
2019-06-26,903,false,Crawler,Googlebot,unknown,unknown,unknown,Unrecognized,unknown,unknown,12494,UNKNOWN_LOCALE
2019-06-26,307,false,Crawler,Googlebot,unknown,Android 6.0 Marshmallow,Android,Smartphone,Nexus 5X,LG,10868,UNKNOWN_LOCALE
2019-06-26,307,false,Crawler,Googlebot,unknown,unknown,unknown,Unrecognized,unknown,unknown,10369,UNKNOWN_LOCALE
2019-06-26,307,false,Crawler,MJ12bot,unknown,unknown,unknown,Unrecognized,unknown,unknown,9692,UNKNOWN_LOCALE
2019-06-26,903,false,Crawler,Googlebot,unknown,Android 6.0 Marshmallow,Android,Smartphone,Nexus 5X,LG,9658,UNKNOWN_LOCALE
2019-06-26,112,false,Crawler,MJ12bot,unknown,unknown,unknown,Unrecognized,unknown,unknown,9001,UNKNOWN_LOCALE
2019-06-26,112,false,Unrecognized,unknown,unknown,unknown,unknown,unknown,unknown,unknown,8438,UNKNOWN_LOCALE
2019-06-26,115,false,Crawler,SEMrushBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,8312,UNKNOWN_LOCALE
2019-06-26,122,false,Crawler,MJ12bot,unknown,unknown,unknown,Unrecognized,unknown,unknown,7383,UNKNOWN_LOCALE
2019-06-26,117,false,Crawler,MJ12bot,unknown,unknown,unknown,Unrecognized,unknown,unknown,7305,UNKNOWN_LOCALE
2019-06-26,114,false,Crawler,MJ12bot,unknown,unknown,unknown,Unrecognized,unknown,unknown,7133,UNKNOWN_LOCALE
2019-06-26,1302,false,Crawler,MJ12bot,unknown,unknown,unknown,Unrecognized,unknown,unknown,6801,UNKNOWN_LOCALE
2019-06-26,112,false,Browser,Chrome,WebKit/Blink,OS X 10.10 Yosemite,OS X,Desktop,Mac,Apple,6645,UNKNOWN_LOCALE
2019-06-26,109,false,Crawler,Googlebot,unknown,unknown,unknown,Unrecognized,unknown,unknown,5833,UNKNOWN_LOCALE
2019-06-26,309,false,Browser,Firefox,Gecko,Windows 7,Windows,Desktop,unknown,unknown,5769,UNKNOWN_LOCALE
2019-06-26,303,false,Crawler,SEMrushBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,5635,UNKNOWN_LOCALE
2019-06-26,116,false,Crawler,MJ12bot,unknown,unknown,unknown,Unrecognized,unknown,unknown,5440,UNKNOWN_LOCALE
