visit_date,site_id,registered,ua_class,ua_family,ua_engine,ua_os,ua_os_family,device_class_code,device_market_name,device_brand,num_visits,locale_code
2019-06-27,302,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,6555,UNKNOWN_LOCALE
2019-06-27,902,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,4387,UNKNOWN_LOCALE
2019-06-27,109,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,3369,UNKNOWN_LOCALE
2019-06-27,112,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,1932,UNKNOWN_LOCALE
2019-06-27,116,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,1644,UNKNOWN_LOCALE
2019-06-27,904,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,1417,UNKNOWN_LOCALE
2019-06-27,114,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,1414,UNKNOWN_LOCALE
2019-06-27,117,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,1175,UNKNOWN_LOCALE
2019-06-27,113,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,1174,UNKNOWN_LOCALE
2019-06-27,309,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,1173,UNKNOWN_LOCALE
2019-06-27,113,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,1089,UNKNOWN_LOCALE
2019-06-27,109,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,1086,UNKNOWN_LOCALE
2019-06-27,303,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,1045,UNKNOWN_LOCALE
2019-06-27,903,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,1038,UNKNOWN_LOCALE
2019-06-27,302,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Tablet,iPad,Apple,985,UNKNOWN_LOCALE
2019-06-27,106,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,965,UNKNOWN_LOCALE
2019-06-27,116,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,895,UNKNOWN_LOCALE
2019-06-27,902,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,814,UNKNOWN_LOCALE
2019-06-27,121,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,800,UNKNOWN_LOCALE
2019-06-27,304,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,770,UNKNOWN_LOCALE
2019-06-27,308,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,743,UNKNOWN_LOCALE
2019-06-27,303,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,662,UNKNOWN_LOCALE
2019-06-27,901,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,660,UNKNOWN_LOCALE
2019-06-27,114,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,644,UNKNOWN_LOCALE
2019-06-27,305,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,577,UNKNOWN_LOCALE
2019-06-27,302,false,Mobile browser,Safari mobile,WebKit,iOS 10,iOS,Smartphone,iPhone,Apple,575,UNKNOWN_LOCALE
2019-06-27,112,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,532,UNKNOWN_LOCALE
2019-06-27,113,false,Browser,Chrome,WebKit/Blink,Windows 7,Windows,Desktop,unknown,unknown,527,UNKNOWN_LOCALE
2019-06-27,902,true,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,510,UNKNOWN_LOCALE
2019-06-27,309,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,447,UNKNOWN_LOCALE
2019-06-27,116,false,Browser,Chrome,WebKit/Blink,Windows 7,Windows,Desktop,unknown,unknown,440,UNKNOWN_LOCALE
2019-06-27,106,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,425,UNKNOWN_LOCALE
2019-06-27,117,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,422,UNKNOWN_LOCALE
2019-06-27,904,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,407,UNKNOWN_LOCALE
2019-06-27,109,true,Browser,Chrome Headless,Blink,Linux,Linux,Desktop,unknown,unknown,382,UNKNOWN_LOCALE
2019-06-27,113,false,Browser,Firefox,Gecko,Windows 10,Windows,Desktop,unknown,unknown,374,UNKNOWN_LOCALE
2019-06-27,301,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,364,UNKNOWN_LOCALE
2019-06-27,302,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,361,UNKNOWN_LOCALE
2019-06-27,902,false,Mobile browser,Safari mobile,WebKit,iOS 11,iOS,Smartphone,iPhone,Apple,355,UNKNOWN_LOCALE
2019-06-27,109,false,Browser,Chrome,WebKit/Blink,Windows 7,Windows,Desktop,unknown,unknown,355,UNKNOWN_LOCALE
2019-06-27,103,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,348,UNKNOWN_LOCALE
2019-06-27,115,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,338,UNKNOWN_LOCALE
2019-06-27,116,false,Browser,Chrome,WebKit/Blink,Windows 8.1,Windows,Desktop,unknown,unknown,336,UNKNOWN_LOCALE
2019-06-27,116,false,Browser,IE,Trident,Windows 7,Windows,Desktop,unknown,unknown,333,UNKNOWN_LOCALE
2019-06-27,113,false,Browser,Microsoft Edge,EdgeHTML/Blink,Windows 10,Windows,Desktop,unknown,unknown,318,UNKNOWN_LOCALE
2019-06-27,120,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,316,UNKNOWN_LOCALE
2019-06-27,121,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,310,UNKNOWN_LOCALE
