campaign_id,ncampaign_id,description,valid_from,valid_to,is_continuous
1,XXX,XXX,,,false
10001,KIE_UK_04-20_CHECKOUT-SAMPLES,XXX,,,false
20001,FREESHIPPING,XXX,,,false
10002,LAC-FR-OFFRES-EXCLUSIVES-AOUT,XXX,,,false
20002,DE_corporatebenefits_2019,XXX,,,false
10003,Free-shipping,XXX,,,false
10004,KIE_UK_2020_DIS_ANNA-EDIT-20,XXX,,,false
10005,LAC_UK_03082020_09082020_GWPWYS60,XXX,,,false
10006,LAC-FR-ORL-O-REVOIR-2020,XXX,,,false
10007,DE-MWST-072020,XXX,,,false
10008,DE-ITC-SALE,XXX,,,false
10009,FreeGiftWrapCampaign,XXX,,,false
20003,LPA_FR_2020-07-15_OUTLET,XXX,,,false
10010,ITC-DE-Vorratskaeufe,XXX,,,false
10011,LPA_FR_2020-15-07_2020-11-08_SOLDES-v2,XXX,,,false
10012,AOX - VICHY - SHIPPING 45€,XXX,,,false
10013,KIE_UAE_2020-01-04_2020-15-05_PSLRC-1,XXX,,,false
10014,KIE_KSA_2020-07-27_2020-08-03_ADHA,XXX,,,false
10015,FREESHIPPING_295SAR_20190418,XXX,,,false
20004,KIE_FR_20200603-20200610_SUPERSERUM-SAMPLING,XXX,,,false
30001,Free_Samples_AUGUST_20200801,XXX,,,false
10016,KIE_FR_FREE_SHIPPING_2020,XXX,,,false
20005,PermanentFreeShipping,XXX,,,false
10017,CZ_FREE_SHIPPING,XXX,,,false
10018,HELLO15_20180131,XXX,,,false
10019,Free Shipping,XXX,,,false
10020,UK_VIPDISCOUNT_15%OFF,XXX,,,false
10021,LAC-FR-FREESHIP,XXX,,,false
10022,FREESHIPPING-DE,XXX,,,false
30002,AOX - SANOFLORE - 2020-03 - BIENVENUE10,XXX,,,false
20006,KIE_UK_08-20_GWP_NATURES-PICKS-WYS-50,XXX,,,false
10023,DE-MWST-072020,XXX,,,false
20007,AOX - SANOFLORE - MAGNIFICA 50ML,XXX,,,false
10024,DE-SHIPPING-STANDARD,XXX,,,false
10025,DE-Corporate-Benefit-2020,XXX,,,false
10026,IT_Freeship_20180601,XXX,,,false
20008,LAC_Elite_Rewards_DE,XXX,,,false
10027,IT-Promo-Routine-Lancome-2020-Bundle-1,XXX,,,false
10028,FR_FREESHPPING_3DFACE_20190401,XXX,,,false
20009,IT-Promo-Idole-Launch,XXX,,,false
10029,FR_FREESHIPPING_20190426,XXX,,,false
10030,ITC_FR_CONTINUOUSLY_BRUSH60 _OFFRE_CCREAM+PINCEAU,XXX,,,false
20010,IT-FREESHIPPING,XXX,,,false
10031,IT-SALDI_2020,XXX,,,false
10032,UD_UK_08-20_GWP_FREAK-SPEND-40,XXX,,,false
40001,KIE_UAE_2020-07-27_2020-08-02_ADHA,XXX,,,false
40002,freeshipping 295,XXX,,,false
40003,FREESHIP - TRESHOLD,XXX,,,false
10033,KIE_UAE_2020-04-01_2020-05-15_MRC_Offer_2,XXX,,,false
