coupon_id,ncoupon_id,coupon_type,description,is_enabled,redemption_limit,codes_count
1,XXX,UNKNOWN,XXX,false,-1,-1
10001,SEABREEZE,1,Receive a FREE Green Stripe Barrel bag with a purchase of $99 or more!  Use codeL: SEABREEZE at checkout.,true,0,1
10002,SPRINGBIRDS,1,Receive a FREE SpringBirds Barrel bag with a purchase of $99 or more!  Use codeL: SPRINGBIRDS at checkout.,true,0,1
10003,SUMMERFUN,1,Receive a free blue travel bag and deluxe sample cleanser ($20 value) with any $100 purchase. Plus Free Standard Shipping. Enter code SUMMERFUN at checkout. Offer valid 6/20 – 7/18/14.,true,0,1
10004,SUPERIOR,1,With any purchase of $149 or more  receive Brilliant Barrel Bag with Cleanser ($50 value),true,0,1
10005,SimpleGWP,1,Coupon to use with Simple GWP,true,0,1
10006,Skincare-pairs,1,Buy 2 devices  get 10% off,true,0,1
10007,Skincare-pairs-lowercase,1,buy 2 devices  get 10% off,true,0,1
10008,Spring-joy,1,Spring GWP with any $150 purchase
Flight dates: March 19 – 24 at 11:59 PM PST
Promo Code: SPRINGJOY

Brilliant Barrel GWP + Gentle Hydro 6 oz,true,0,1
10009,Test Coupon,1,null,true,0,1
10010,Tiered-Samples,1,CODE: SAMPLES
Flight dates: Mar 28- April 2
Spend $50  get UPC:
3605970681104
	Refreshing Gel 1oz Sample S125

Spend $75  get 2 samples
3605970681104
	Refreshing Gel 1oz Sample S125
887242002920
	Deep Pore Daily Cleanser 1oz
	

	
	
	

Spend $100  get 3 free samples
3605970681104
	Refreshing Gel 1oz Sample S125
887242002920
	Deep Pore Daily Cleanser 1oz
	
887242002531
	Cleanser Salicylic Acid 2% 1oz,true,0,1
10011,Valentines-2-day-shipping,1,Promo code sweetheart free 2 day shipping w/$100+,true,0,1
10012,chooseyoursample,1,null,true,0,1
10013,cyberweekend-2013 First Letter CAPS,1,Get 20% off all Facial Cleansing devices and Opal with promo code CYBER20,true,0,1
10014,cyberweekend-2013 lower case,1,Get 20% off all Facial Cleansing devices and Opal with promo code CYBER20,true,0,1
10015,cyberweekend-2013-ALL CAPS,1,Get 20% off all Facial Cleansing devices and Opal with promo code CYBER20,true,0,1
10016,sept-google-promo,1,Promo Code: 0913
$5 off any cleansing and opal infusion system.
Duration: now through 9/30,true,0,1
10017,Accessories,1,null,true,0,1
10018,LAUNCH 15,1,null,true,0,1
10019,cyber-20,1,null,true,0,1
10020,Pedi50,1,null,true,0,1
10021,skincare-pairs-1stlettercap,1,buy 2 devices  get 10% off,true,0,1
10022,skincarepairs20-1st-cap,1,buy 2 get 20% off,true,0,1
10023,skincarepairs20-lowercase,1,buy 2 get 20% off,true,0,1
10024,skincarepairs20-uppercase,1,buy 2 get 20% off,true,0,1
10025,test coupon,1,null,true,0,1
10026,Test - Free Express Delivery,1,null,true,0,1
10027,Device,1,null,true,0,1
10028,TEST - Free Saturday Delivery,1,null,true,0,1
10029,STYLIST,1,null,true,0,1
10030,20%OffAll,1,20% Off DEVICES,true,0,1
20001,20POff100-1,1,20% off coupon,true,0,1
20002,25$Off,1,$25 Off order $100 or more,true,0,1
