region_id,region_code,region_name,country_id,country_code,country_name,iso3166_alpha_code
1,XXX,XXX,1,XXX,XXX,XXX-XXX
101,BDS,BADAKHSHĀN,101,AF,AFGHANISTAN,AF-BDS
102,BGL,BAGHLĀN,101,AF,AFGHANISTAN,AF-BGL
103,BAL,BALKH,101,AF,AFGHANISTAN,AF-BAL
104,BDG,BĀDGHĪS,101,AF,AFGHANISTAN,AF-BDG
105,BAM,BĀMYĀN,101,AF,AFGHANISTAN,AF-BAM
106,DAY,DĀYKUNDĪ,101,AF,AFGHANISTAN,AF-DAY
107,FRA,FARĀH,101,AF,AFGHANISTAN,AF-FRA
108,FYB,FĀRYĀB,101,AF,AFGHANISTAN,AF-FYB
109,GHA,GHAZNĪ,101,AF,AFGHANISTAN,AF-GHA
110,GHO,GHŌR,101,AF,AFGHANISTAN,AF-GHO
111,HEL,HELMAND,101,AF,AFGHANISTAN,AF-HEL
112,HER,HERĀT,101,AF,AFGHANISTAN,AF-HER
113,JOW,JOWZJĀN,101,AF,AFGHANISTAN,AF-JOW
114,KAN,KANDAHĀR,101,AF,AFGHANISTAN,AF-KAN
115,KHO,KHŌST,101,AF,AFGHANISTAN,AF-KHO
116,KNR,KUNAR,101,AF,AFGHANISTAN,AF-KNR
117,KDZ,KUNDUZ,101,AF,AFGHANISTAN,AF-KDZ
118,KAB,KĀBUL,101,AF,AFGHANISTAN,AF-KAB
119,KAP,KĀPĪSĀ,101,AF,AFGHANISTAN,AF-KAP
120,LAG,LAGHMĀN,101,AF,AFGHANISTAN,AF-LAG
121,LOW,LŌGAR,101,AF,AFGHANISTAN,AF-LOW
122,NAN,NANGARHĀR,101,AF,AFGHANISTAN,AF-NAN
123,NIM,NĪMRŌZ,101,AF,AFGHANISTAN,AF-NIM
124,NUR,NŪRISTĀN,101,AF,AFGHANISTAN,AF-NUR
125,PIA,PAKTIA,101,AF,AFGHANISTAN,AF-PIA
126,PKA,PAKTIKA,101,AF,AFGHANISTAN,AF-PKA
