payment_method_id,npayment_method_id,display_name
1,XXX,UNKNOWN
10001,GIFT_CERTIFICATE,Gift Certificate
10002,CREDIT_CARD,Credit Card
10003,BANK_TRANSFER,Bank Transfer
10004,BML,Bill Me Later
10005,PayPal,Pay Pal
10006,PAYMENTTECH_GIFTCARD,Gift Card
10007,BANK_TRANSFER,Bank Transfer
10008,BML,Bill Me Later
10009,CREDIT_CARD,Credit Card
10010,GIFT_CERTIFICATE,Gift Certificate
20001,PAYMENTTECH_GIFTCARD,Gift Card
20002,PayPal,Pay Pal
20003,BANK_TRANSFER,Bank Transfer
20004,BML,Bill Me Later
370001,GIFT_CERTIFICATE,Gift Certificate
20006,GIFT_CERTIFICATE,Gift Certificate
20007,PAYMENTTECH_GIFTCARD,Gift Card
20029,PayPal,Pay Pal
20009,BANK_TRANSFER,Bank Transfer
20010,BML,Bill Me Later
20011,CREDIT_CARD,Credit Card
20012,GIFT_CERTIFICATE,Gift Certificate
20013,PAYMENTTECH_GIFTCARD,Gift Card
20014,PayPal,PayPal
20015,WebMoney,WebMoney
20016,BANK_TRANSFER,Bank Transfer
20017,BML,Bill Me Later
20019,GIFT_CERTIFICATE,Gift Certificate
20020,BANK_TRANSFER,Bank Transfer
20021,BML,Bill Me Later
20022,CREDIT_CARD,Carte de crédit
20023,GIFT_CERTIFICATE,Gift Certificate
20024,GIFT_CERTIFICATE,Gift Certificate
20025,CREDIT_CARD,Credit Card
20026,BANK_TRANSFER,Bank Transfer
20027,BML,Bill Me Later
20028,PayPal,Pay Pal
20030,BANK_TRANSFER,Bank Transfer
10011,BML,Bill Me Later
10012,CREDIT_CARD,Credit Card
10013,GIFT_CERTIFICATE,Gift Certificate
10014,Paypal,Paypal
10015,BANK_TRANSFER,Bank Transfer
10016,BML,Bill Me Later
10017,CREDIT_CARD,Credit Card
10018,GIFT_CERTIFICATE,Gift Certificate
10019,PayPal,Pay Pal
10020,BANK_TRANSFER,Bank Transfer
30001,BML,Bill Me Later
20005,CREDIT_CARD,Credit Card
20008,PayPal,Pay Pal
370002,CREDIT_CARD,Credit Card
30003,GIFT_CERTIFICATE,Gift Certificate
370003,BANK_TRANSFER,Bank Transfer
30005,BANK_TRANSFER,Bank Transfer
30006,BML,Bill Me Later
30007,CREDIT_CARD,Credit Card (Amex  Visa Debit  Visa Credit  Maestro)
30008,GIFT_CERTIFICATE,Gift Certificate
30009,PAYMENTTECH_GIFTCARD,Gift Card
30010,PayPal,Pay Pal
30011,DW_APPLE_PAY,Apple Pay
30013,GIFT_CERTIFICATE,Gift Certificate
30014,BANK_TRANSFER,Bank Transfer
30015,BML,Bill Me Later
30016,DW_APPLE_PAY,Apple Pay
30018,BANK_TRANSFER,Bank Transfer
30019,BML,Bill Me Later
30020,CREDIT_CARD,Credit Card
30021,DW_APPLE_PAY,Apple Pay
30022,GIFT_CERTIFICATE,Gift Certificate
30023,CREDIT_CARD,Credit Card
30024,BANK_TRANSFER,Bank Transfer
30025,BML,Bill Me Later
30026,PayPal,Pay Pal
30027,PAYMENTTECH_GIFTCARD,Gift Card
30028,DW_APPLE_PAY,Apple Pay
30030,DW_ANDROID_PAY,Android Pay
30031,DW_APPLE_PAY,Apple Pay
30032,PAYMENTTECH_GIFTCARD,Gift Card
30033,PayPal,Pay Pal
30034,PAYMENTTECH_GIFTCARD,Gift Card
30035,GIFT_CERTIFICATE,Gift Certificate
30036,CREDIT_CARD,Credit Card
30037,BANK_TRANSFER,Bank Transfer
30038,BML,Bill Me Later
30039,DW_APPLE_PAY,Apple Pay
30040,DW_ANDROID_PAY,Android Pay
30041,GIFT_CERTIFICATE,Gift Certificate
30042,CREDIT_CARD,Credit Card
30043,BANK_TRANSFER,Bank Transfer
30044,BML,Bill Me Later
30045,DW_APPLE_PAY,Apple Pay
30046,COD,COD
30047,DW_ANDROID_PAY,Android Pay
30048,DW_ANDROID_PAY,Android Pay
30050,GIFT_CERTIFICATE,Gift Certificate
30029,DW_ANDROID_PAY,Android Pay
20050,Ing,Ing
230001,HostedCreditCard,Hosted Credit Card
30002,CREDIT_CARD,Credit Card
30004,PayPal,Pay Pal
250001,HostedCreditCard,HostedCreditCard
30049,Sofurt,Sofurt
20031,DW_APPLE_PAY,Apple Pay
20045,CREDIT_CARD,Credit Card
20048,PayPal,PayPal
20034,DW_APPLE_PAY,Apple Pay
20035,DW_APPLE_PAY,Apple Pay
20036,DW_APPLE_PAY,Apple Pay
20037,DW_APPLE_PAY,Apple Pay
20038,DW_APPLE_PAY,Apple Pay
20039,DW_APPLE_PAY,Apple Pay
20040,DW_APPLE_PAY,Apple Pay
