promotion_id,npromotion_id,display_name,promotion_class,is_continuous,valid_from,valid_to
1,XXX,XXX,UNKNOWN,false,,
10001,MDC sorry,MDC sorry,ORDER,true,,
10002,gwp-gobold-20170519,gwp-gobold-20170519,ORDER,true,,
10003,Discount_COLISSIMO_20171013,Discount_COLISSIMO_20171013,PRODUCT,false,,
10004,IT_Discount_soldes_20170629-14,IT_Discount_soldes_20170629-14,PRODUCT,false,,
10005,ICONS_0307,ICONS_0307,PRODUCT,true,,
10006,GWP_GROOMING_20170222,GWP_GROOMING_20170222,ORDER,true,,
10007,Discount_NEWSLETTERTEST_20170616,Discount_NEWSLETTERTEST_20170616,PRODUCT,true,,
10008,UK-DISCOUNT-10-20171219,UK-DISCOUNT-10-20171219,PRODUCT,true,,
10009,GWP_SPRING35_20170421,GWP_SPRING35_20170421,ORDER,true,,
10010,CZ_Nestle&Loreal,CZ_Nestle&Loreal,ORDER,true,,
10011,2017-03-27_Armani_Gift_Box,2017-03-27_Armani_Gift_Box,PRODUCT,false,,
10012,GWP_TREAT_1712,GWP_TREAT_1712,ORDER,true,,
10013,CZ_Free shipping over 1500Kč,CZ_Free shipping over 1500Kč,SHIPPING,true,,
10014,Freeship_COLISSIMO_20171013,Freeship_COLISSIMO_20171013,SHIPPING,true,,
10015,Discount_NETTOYANTS15_20160729,Discount_NETTOYANTS15_20160729,PRODUCT,false,,
10016,UK-GWP- 20171211,UK-GWP- 20171211,ORDER,true,,
10017,YFQ20_20171108,YFQ20_20171108,PRODUCT,true,,
10018,Gift with purchase,Gift with purchase,PRODUCT,false,,
10019,NATURAL_0202,NATURAL_0202,ORDER,true,,
10020,DE_GWP_BLACK_20161118,DE_GWP_BLACK_20161118,ORDER,false,,
10021,Free_shipping_standard,Free_shipping_standard,SHIPPING,true,,
10022,UNI10_1604,UNI10_1604,PRODUCT,true,,
10023,gwp-pinkispunk-20170725,gwp-pinkispunk-20170725,ORDER,true,,
10024,CZ_Nestle&Loreal,CZ_Nestle&Loreal,ORDER,true,,
10025,Welcome_20160905,Welcome_20160905,SHIPPING,false,,
10026,Discount_VIP25_20170213,Discount_VIP25_20170213,PRODUCT,true,,
10027,10OFF_20170907,10OFF_20170907,PRODUCT,true,,
10028,FREE-SHIPPING-IT,FREE-SHIPPING-IT,SHIPPING,true,,
10029,FR_DISCOUNT_BLACKFRIDAY_1120,FR_DISCOUNT_BLACKFRIDAY_1120,PRODUCT,true,,
