source_code_group_id,nsource_code_group_id
1,INVALID
2,UNKNOWN
101,seo-pdp
201,SRPXLANCOME
202,seo-hp
301,campagnemasking
302,snapcollectiontop4
66701,CRM_TR_SD30
501,beautyaddict
502,giftfinder-forher
503,seeker
203,charismatic
504,seducer
601,giftfinder-forhim
303,idole*
701,rockglamour
801,beauteprivee
901,jodie
1001,diane
1101,yasmine
1102,VIPLancomeFDM*
1103,brand_email
1201,skincare-source
1301,FREESHIP
1401,hero-banner-desktop
1501,mercinpspp
1601,ES_LAC_30-3_landinghola
1701,E2-BNL-DEC-2019-VEEPEE
1801,LIFE
1901,opium
2001,KIE_FR_202004_INF4
2002,BEAUTYVIP
2101,campagnesnap
2201,udcesvp
2301,FRENCHY
2401,DIVERGENT
2501,vipblackfriday
2601,KIE_ES_DNR_set-eyes
2701,showroomprivee
2801,DE_srcNewsletter
2802,KIE_ES_DMS-hidratacion
2901,KIE_FR_202004_INF3
2902,SALES
3001,showroomprive
3101,KIE_ES_DNR_set-serum
3201,cadeau
3301,fetedesmeres2020
3401,trigger_email
3402,bestloyal
3501,SPRING20
3601,venteprivee_february
3701,black-friday
3801,vipcybermonday
3901,sophisticated
3902,DE_srcGWP
4001,DIANEYSL
4101,SOSOYSL
4102,SABRINAYSL
4103,JODIEYSL
4002,DE_exklusiv
4201,influenceurs
4301,THEFRENCHWAYYSL
4401,DE_srcRosazeaSet
4501,YASMINEYSL
4601,spring
4701,ALICIAYSL
4801,VIPAccessLancome*
4901,VENUSYSL
5001,MUMMYFASTYSL
5002,CHARLOTTEYSL
5101,POUSSINEYSL
5201,LancomexDAZN
5301,CHRISTMAS
5401,GREYSOWHATYSL
5501,VICTORIAYSL
5502,APOLLINEYSL
5503,FIFTYYEARSYSL
5601,CHARLIEYSL
5701,CLAIREYSL
5801,KIE_FR_20200429-20200504_FRE
5901,viponly
6001,collectioncorps
6101,french
6201,joy
6301,veepee
6401,SHIP
6501,LANCOME20
6601,Veepee
6701,BEST
6801,RENTREE
6901,WINTER
7001,VIPAccessWinterSales*
7101,BIRTHDAY
7201,SPRING
7202,mobile
7301,ES-feb-San-Valentin-1
7401,BEAUTY
7501,BTAA
7601,preblackfriday
