timezone_id,ntimezone_id,display_name,standard_time_short,daylight_time_short,standard_time_long,daylight_time_long,utc_offset_millis,observes_dst,dst_savings_millis
1,__UNKNOWN__,__UNKNOWN__,__UNKNOWN__,__UNKNOWN__,__UNKNOWN__,__UNKNOWN__,0,false,0
11,Africa/Abidjan,Greenwich Mean Time,GMT,GMT,Greenwich Mean Time,Greenwich Mean Time,0,false,0
12,Africa/Accra,Ghana Mean Time,GMT,GHST,Ghana Mean Time,Ghana Summer Time,0,false,0
13,Africa/Addis_Ababa,Eastern African Time,EAT,EAST,Eastern African Time,Eastern African Summer Time,10800000,false,0
14,Africa/Algiers,Central European Time,CET,CEST,Central European Time,Central European Summer Time,3600000,false,0
15,Africa/Asmara,Eastern African Time,EAT,EAST,Eastern African Time,Eastern African Summer Time,10800000,false,0
16,Africa/Asmera,Eastern African Time,EAT,EAST,Eastern African Time,Eastern African Summer Time,10800000,false,0
17,Africa/Bamako,Greenwich Mean Time,GMT,GMT,Greenwich Mean Time,Greenwich Mean Time,0,false,0
18,Africa/Bangui,Western African Time,WAT,WAST,Western African Time,Western African Summer Time,3600000,false,0
19,Africa/Banjul,Greenwich Mean Time,GMT,GMT,Greenwich Mean Time,Greenwich Mean Time,0,false,0
20,Africa/Bissau,Greenwich Mean Time,GMT,GMT,Greenwich Mean Time,Greenwich Mean Time,0,false,0
21,Africa/Blantyre,Central African Time,CAT,CAST,Central African Time,Central African Summer Time,7200000,false,0
22,Africa/Brazzaville,Western African Time,WAT,WAST,Western African Time,Western African Summer Time,3600000,false,0
23,Africa/Bujumbura,Central African Time,CAT,CAST,Central African Time,Central African Summer Time,7200000,false,0
24,Africa/Cairo,Eastern European Time,EET,EEST,Eastern European Time,Eastern European Summer Time,7200000,true,3600000
25,Africa/Casablanca,Western European Time,WET,WEST,Western European Time,Western European Summer Time,0,true,3600000
26,Africa/Ceuta,Central European Time,CET,CEST,Central European Time,Central European Summer Time,3600000,true,3600000
27,Africa/Conakry,Greenwich Mean Time,GMT,GMT,Greenwich Mean Time,Greenwich Mean Time,0,false,0
28,Africa/Dakar,Greenwich Mean Time,GMT,GMT,Greenwich Mean Time,Greenwich Mean Time,0,false,0
29,Africa/Dar_es_Salaam,Eastern African Time,EAT,EAST,Eastern African Time,Eastern African Summer Time,10800000,false,0
