promotion_activation_id,promotion_id,campaign_id,activation_site_id,utc_activation_day_id,utc_activation_time_id,utc_activation_timestamp,std_activation_day_id,std_activation_time_id,std_activation_timestamp,std_activation_timezone_id,visitor_id,user_agent_id,locale_id,customer_id
1,35080002,11730032,113,7620,1301,2020-11-09 20:00:31.000,7620,1301,2020-11-09 20:00:31.000,461,abaJJ8vPdDTtmrCZTSmX23f0E,335901,216,
2,10534,1512815,302,7620,1301,2020-11-09 20:00:36.000,7620,1301,2020-11-09 20:00:36.000,451,acAx4XQr1TaBswTpHl1Jevb1X,334801,259,
3,29610001,1512212,113,7620,1301,2020-11-09 20:00:37.000,7620,1301,2020-11-09 20:00:37.000,461,abHhIrUOFHBtNHHusHqNlPRoX,283903,216,
4,34340015,10520018,113,7620,1301,2020-11-09 20:00:47.000,7620,1301,2020-11-09 20:00:47.000,461,adHbPMDlqu2NTyZVplen4JavX,158801,216,
5,23190001,1512288,109,7620,1301,2020-11-09 20:00:47.000,7620,1301,2020-11-09 20:00:47.000,461,bcVzc9N84jMKaViziExpJNhPJ,334801,216,
6,29610001,1512212,113,7620,1302,2020-11-09 20:01:01.000,7620,1302,2020-11-09 20:01:01.000,461,adHbPMDlqu2NTyZVplen4JavX,158801,216,
7,2170014,1511901,106,7620,1302,2020-11-09 20:01:07.000,7620,1302,2020-11-09 20:01:07.000,461,ab6BuJtVJjQs3EMLWYfHYKotQ,99701,237,
8,35100045,11730050,106,7620,1302,2020-11-09 20:01:07.000,7620,1302,2020-11-09 20:01:07.000,461,ab6BuJtVJjQs3EMLWYfHYKotQ,99701,237,
10,30870083,2920079,2501,7620,1302,2020-11-09 20:01:08.000,7620,1302,2020-11-09 20:01:08.000,451,acUWdBETZ7LupOCaEIGO1FkpA,334801,259,
11,6180001,1510247,301,7620,1302,2020-11-09 20:01:38.000,7620,1302,2020-11-09 20:01:38.000,451,__ANONYMOUS__,334801,259,
12,34340192,10520018,113,7620,1302,2020-11-09 20:01:46.000,7620,1302,2020-11-09 20:01:46.000,461,adHbPMDlqu2NTyZVplen4JavX,158801,216,
13,33770054,9570072,113,7620,1302,2020-11-09 20:01:52.000,7620,1302,2020-11-09 20:01:52.000,461,cdPiyhQvB7vmUaKY23643setZ,283401,216,
14,29610001,1512212,113,7620,1302,2020-11-09 20:01:53.000,7620,1302,2020-11-09 20:01:53.000,461,cdPiyhQvB7vmUaKY23643setZ,283401,216,
15,22740041,11730141,109,7620,1302,2020-11-09 20:01:59.000,7620,1302,2020-11-09 20:01:59.000,461,__ANONYMOUS__,339301,157,
16,35080001,11730032,113,7620,1303,2020-11-09 20:02:10.000,7620,1303,2020-11-09 20:02:10.000,461,adHbPMDlqu2NTyZVplen4JavX,158801,216,
