metric_id,metric_name,metric_value,create_date
1,request_count,5146,2018-04-12 16:40:00.000
2,order_creates,5,2018-04-12 16:40:00.000
3,session_count,884,2018-04-12 16:40:00.000
4,sys_wkld,22,2018-04-12 16:40:00.000
8,order_creates,3,2018-04-12 16:47:00.000
9,session_count,981,2018-04-12 16:47:00.000
10,order_creates,6,2018-04-12 17:06:00.000
11,session_count,1044,2018-04-12 17:06:00.000
12,sys_wkld,25,2018-04-12 17:06:00.000
13,session_count,1054,2018-04-12 17:02:00.000
14,sys_wkld,16,2018-04-12 17:02:00.000
24,session_count,902,2018-04-12 16:57:00.000
25,sys_wkld,21,2018-04-12 16:57:00.000
26,session_count,465,2018-04-14 04:20:00.000
27,sys_wkld,3,2018-04-14 04:20:00.000
28,session_count,466,2018-04-14 04:22:00.000
29,sys_wkld,9,2018-04-14 04:22:00.000
30,request_count,795,2018-04-14 04:19:00.000
32,request_count,1025,2018-04-14 04:26:00.000
39,request_count,877,2018-04-14 04:28:00.000
47,request_count,1521,2018-04-14 04:35:00.000
48,basket_updates,200,2018-04-14 04:36:00.000
49,basket_creates,217,2018-04-14 04:36:00.000
54,session_count,490,2018-04-14 04:43:00.000
55,sys_wkld,11,2018-04-14 04:43:00.000
60,basket_updates,84,2018-04-14 04:55:00.000
61,basket_creates,93,2018-04-14 04:55:00.000
62,request_count,1463,2018-04-14 04:37:00.000
63,request_count,1185,2018-04-14 04:40:00.000
64,request_count,4527,2018-04-14 13:28:00.000
66,basket_updates,525,2018-04-14 13:28:00.000
67,basket_creates,217,2018-04-14 13:28:00.000
70,request_count,4536,2018-04-14 13:29:00.000
75,order_creates,0,2018-04-14 13:35:00.000
76,session_count,839,2018-04-14 13:35:00.000
77,sys_wkld,18,2018-04-14 13:35:00.000
82,request_count,4651,2018-04-14 13:41:00.000
84,request_count,4684,2018-04-14 13:36:00.000
90,basket_updates,568,2018-04-14 13:41:00.000
91,basket_creates,246,2018-04-14 13:41:00.000
92,basket_updates,589,2018-04-14 13:40:00.000
93,basket_creates,254,2018-04-14 13:40:00.000
95,sys_wkld,6,2018-04-14 13:50:00.000
96,order_creates,2,2018-04-14 13:45:00.000
97,session_count,822,2018-04-14 13:45:00.000
98,sys_wkld,9,2018-04-14 13:45:00.000
99,order_creates,3,2018-04-14 13:52:00.000
100,session_count,718,2018-04-14 13:52:00.000
101,sys_wkld,11,2018-04-14 13:52:00.000
111,request_count,4581,2018-04-14 13:52:00.000
112,order_creates,1,2018-04-14 14:00:00.000
113,session_count,158,2018-04-14 14:00:00.000
114,session_count,740,2018-04-14 13:50:00.000
119,sys_wkld,36,2018-04-14 13:47:00.000
120,request_count,933,2018-04-14 14:00:00.000
123,basket_updates,169,2018-04-14 14:06:00.000
124,basket_creates,25,2018-04-14 14:06:00.000
126,basket_updates,406,2018-04-14 13:50:00.000
127,basket_creates,147,2018-04-14 13:50:00.000
131,request_count,4597,2018-04-14 13:51:00.000
132,order_creates,0,2018-04-14 14:07:00.000
133,order_creates,1,2018-04-14 13:49:00.000
136,request_count,4707,2018-04-14 14:10:00.000
137,request_count,2829,2018-04-14 13:58:00.000
140,order_creates,2,2018-04-14 13:59:00.000
141,session_count,385,2018-04-14 13:59:00.000
142,sys_wkld,10,2018-04-14 13:59:00.000
150,basket_updates,112,2018-04-14 14:04:00.000
151,session_count,345,2018-04-14 14:05:00.000
154,basket_updates,290,2018-04-14 14:05:00.000
155,basket_creates,74,2018-04-14 14:05:00.000
157,request_count,3094,2018-04-14 14:07:00.000
158,basket_updates,707,2018-04-14 14:10:00.000
159,basket_creates,149,2018-04-14 14:10:00.000
160,basket_creates,67,2018-04-14 14:08:00.000
161,order_creates,3,2018-04-14 14:13:00.000
164,basket_updates,484,2018-04-14 14:15:00.000
165,basket_creates,144,2018-04-14 14:15:00.000
166,basket_updates,497,2018-04-14 14:18:00.000
167,basket_creates,162,2018-04-14 14:18:00.000
168,basket_updates,455,2018-04-14 14:19:00.000
169,basket_creates,193,2018-04-14 14:19:00.000
170,basket_updates,549,2018-04-14 14:35:00.000
171,basket_creates,110,2018-04-14 14:35:00.000
172,basket_updates,496,2018-04-14 14:16:00.000
173,basket_creates,150,2018-04-14 14:16:00.000
178,session_count,696,2018-04-14 14:42:00.000
179,sys_wkld,18,2018-04-14 14:42:00.000
186,request_count,4365,2018-04-14 14:22:00.000
189,session_count,750,2018-04-14 14:24:00.000
190,sys_wkld,23,2018-04-14 14:24:00.000
193,order_creates,0,2018-04-14 14:24:00.000
194,request_count,4218,2018-04-14 14:24:00.000
195,request_count,4221,2018-04-14 14:25:00.000
197,request_count,4437,2018-04-14 14:29:00.000
198,basket_updates,558,2018-04-14 14:22:00.000
199,basket_creates,167,2018-04-14 14:22:00.000
203,order_creates,1,2018-04-14 14:30:00.000
204,session_count,667,2018-04-14 14:30:00.000
205,sys_wkld,7,2018-04-14 14:30:00.000
206,basket_updates,736,2018-04-14 14:50:00.000
207,basket_creates,154,2018-04-14 14:50:00.000
210,basket_updates,442,2018-04-14 14:30:00.000
211,basket_creates,117,2018-04-14 14:30:00.000
212,sys_wkld,3,2018-04-14 14:31:00.000
215,request_count,4392,2018-04-14 14:33:00.000
217,request_count,4684,2018-04-14 14:40:00.000
218,order_creates,2,2018-04-14 14:48:00.000
219,session_count,701,2018-04-14 14:48:00.000
220,basket_updates,423,2018-04-14 15:12:00.000
221,basket_creates,135,2018-04-14 15:12:00.000
222,order_creates,3,2018-04-14 15:00:00.000
223,session_count,718,2018-04-14 15:00:00.000
224,sys_wkld,6,2018-04-14 15:00:00.000
225,basket_updates,422,2018-04-14 14:55:00.000
226,basket_creates,157,2018-04-14 14:55:00.000
227,request_count,4421,2018-04-14 15:07:00.000
230,basket_updates,729,2018-04-14 15:16:00.000
231,basket_creates,444,2018-04-14 15:16:00.000
232,request_count,3827,2018-04-14 15:12:00.000
233,session_count,841,2018-04-14 15:26:00.000
234,sys_wkld,5,2018-04-14 15:26:00.000
235,request_count,5083,2018-04-14 15:19:00.000
236,order_creates,1,2018-04-14 15:24:00.000
237,session_count,1034,2018-04-14 15:24:00.000
238,sys_wkld,17,2018-04-14 15:24:00.000
239,basket_updates,547,2018-04-14 15:44:00.000
240,basket_creates,160,2018-04-14 15:44:00.000
241,request_count,4674,2018-04-14 15:21:00.000
242,basket_updates,492,2018-04-14 15:45:00.000
243,basket_creates,157,2018-04-14 15:45:00.000
244,order_creates,1,2018-04-14 15:51:00.000
245,session_count,828,2018-04-14 15:51:00.000
246,sys_wkld,7,2018-04-14 15:51:00.000
247,basket_updates,579,2018-04-14 15:54:00.000
248,basket_creates,183,2018-04-14 15:54:00.000
249,request_count,4747,2018-04-14 15:51:00.000
250,basket_updates,464,2018-04-14 16:00:00.000
251,request_count,4247,2018-04-14 18:31:00.000
252,request_count,4278,2018-04-14 18:32:00.000
253,basket_updates,555,2018-04-14 18:32:00.000
254,basket_creates,176,2018-04-14 18:32:00.000
255,sys_wkld,8,2018-04-14 18:33:00.000
256,order_creates,1,2018-04-14 18:34:00.000
257,session_count,1041,2018-04-14 18:34:00.000
258,request_count,4210,2018-04-14 18:34:00.000
259,sys_wkld,12,2018-04-14 18:35:00.000
260,request_count,5037,2018-04-15 13:45:00.000
261,sys_wkld,24,2018-04-15 13:48:00.000
262,request_count,5737,2018-04-15 18:42:00.000
263,order_creates,1,2018-04-15 18:43:00.000
264,session_count,1271,2018-04-15 18:43:00.000
265,sys_wkld,15,2018-04-15 18:43:00.000
266,order_creates,1,2018-04-15 18:44:00.000
267,session_count,1588,2018-04-15 18:44:00.000
268,sys_wkld,25,2018-04-15 18:44:00.000
269,basket_updates,1000,2018-04-15 18:44:00.000
270,basket_creates,256,2018-04-15 18:44:00.000
271,basket_updates,950,2018-04-15 18:45:00.000
272,basket_updates,979,2018-04-15 18:46:00.000
273,basket_creates,202,2018-04-15 18:46:00.000
274,order_creates,3,2018-04-15 18:47:00.000
275,session_count,1725,2018-04-15 18:47:00.000
276,basket_updates,768,2018-04-15 19:30:00.000
277,basket_creates,150,2018-04-15 19:30:00.000
278,order_creates,4,2018-04-15 19:34:00.000
279,session_count,1035,2018-04-15 19:34:00.000
280,basket_updates,810,2018-04-15 19:34:00.000
281,basket_creates,145,2018-04-15 19:34:00.000
282,session_count,1008,2018-04-15 19:36:00.000
283,sys_wkld,9,2018-04-15 19:36:00.000
284,request_count,5570,2018-04-15 19:37:00.000
285,session_count,945,2018-04-16 00:32:00.000
286,sys_wkld,19,2018-04-16 00:32:00.000
287,request_count,1898,2018-04-16 00:32:00.000
288,request_count,1729,2018-04-16 00:35:00.000
289,request_count,1711,2018-04-16 00:36:00.000
290,basket_updates,164,2018-04-16 00:36:00.000
291,basket_creates,269,2018-04-16 00:36:00.000
292,basket_updates,125,2018-04-16 00:39:00.000
293,basket_creates,270,2018-04-16 00:39:00.000
294,session_count,842,2018-04-16 00:40:00.000
295,sys_wkld,6,2018-04-16 00:40:00.000
296,basket_updates,190,2018-04-16 00:40:00.000
297,basket_creates,258,2018-04-16 00:40:00.000
298,basket_updates,133,2018-04-16 00:37:00.000
299,basket_creates,280,2018-04-16 00:37:00.000
300,request_count,1662,2018-04-16 00:38:00.000
301,request_count,1549,2018-04-16 00:40:00.000
302,request_count,1428,2018-04-16 00:42:00.000
303,basket_updates,185,2018-04-16 00:32:00.000
304,basket_creates,278,2018-04-16 00:32:00.000
305,sys_wkld,13,2018-04-16 00:34:00.000
306,request_count,1885,2018-04-16 00:34:00.000
307,sys_wkld,24,2018-04-16 00:35:00.000
308,session_count,858,2018-04-16 00:36:00.000
309,sys_wkld,6,2018-04-16 00:36:00.000
310,session_count,979,2018-04-16 00:37:00.000
311,sys_wkld,15,2018-04-16 00:37:00.000
312,basket_updates,131,2018-04-16 00:41:00.000
313,basket_creates,238,2018-04-16 00:41:00.000
314,session_count,737,2018-04-16 00:45:00.000
315,sys_wkld,4,2018-04-16 00:45:00.000
316,session_count,690,2018-04-16 00:48:00.000
317,sys_wkld,3,2018-04-16 00:48:00.000
318,basket_updates,196,2018-04-16 00:48:00.000
319,basket_updates,125,2018-04-16 00:49:00.000
320,basket_creates,220,2018-04-16 00:49:00.000
321,session_count,723,2018-04-16 00:50:00.000
322,sys_wkld,5,2018-04-16 00:50:00.000
323,basket_updates,140,2018-04-16 00:51:00.000
324,basket_creates,204,2018-04-16 00:51:00.000
325,session_count,777,2018-04-16 00:53:00.000
326,sys_wkld,9,2018-04-16 00:53:00.000
327,request_count,1684,2018-04-16 00:37:00.000
328,request_count,1764,2018-04-16 00:39:00.000
329,request_count,1434,2018-04-16 00:41:00.000
330,session_count,676,2018-04-16 00:58:00.000
331,sys_wkld,10,2018-04-16 00:58:00.000
332,basket_updates,160,2018-04-16 00:58:00.000
333,basket_creates,112,2018-04-16 00:58:00.000
334,basket_updates,199,2018-04-16 01:01:00.000
335,basket_creates,120,2018-04-16 01:01:00.000
336,order_creates,0,2018-04-16 01:03:00.000
337,session_count,672,2018-04-16 01:03:00.000
338,sys_wkld,5,2018-04-16 01:03:00.000
339,basket_updates,165,2018-04-16 01:04:00.000
340,basket_creates,124,2018-04-16 01:04:00.000
341,request_count,1272,2018-04-16 01:06:00.000
342,basket_creates,99,2018-04-16 01:07:00.000
343,request_count,2500,2018-04-15 23:15:00.000
344,request_count,2470,2018-04-15 23:16:00.000
345,order_creates,0,2018-04-15 23:20:00.000
346,session_count,765,2018-04-15 23:20:00.000
347,sys_wkld,24,2018-04-15 23:20:00.000
348,basket_updates,220,2018-04-16 00:47:00.000
349,basket_creates,228,2018-04-16 00:47:00.000
350,session_count,727,2018-04-16 01:08:00.000
351,order_creates,1,2018-04-16 01:09:00.000
352,session_count,703,2018-04-16 01:10:00.000
353,sys_wkld,6,2018-04-16 01:10:00.000
354,request_count,1200,2018-04-16 01:12:00.000
355,basket_updates,167,2018-04-16 01:14:00.000
356,basket_creates,147,2018-04-16 01:14:00.000
357,basket_updates,147,2018-04-16 01:15:00.000
358,basket_creates,131,2018-04-16 01:15:00.000
359,session_count,574,2018-04-16 01:16:00.000
360,sys_wkld,1,2018-04-16 01:16:00.000
361,session_count,604,2018-04-16 01:20:00.000
362,sys_wkld,4,2018-04-16 01:20:00.000
363,basket_updates,90,2018-04-16 01:20:00.000
364,basket_creates,132,2018-04-16 01:20:00.000
365,session_count,637,2018-04-16 01:21:00.000
366,sys_wkld,13,2018-04-16 01:21:00.000
367,request_count,1165,2018-04-16 01:51:00.000
368,request_count,219,2018-04-16 01:53:00.000
369,basket_updates,23,2018-04-16 01:54:00.000
370,basket_creates,28,2018-04-16 01:54:00.000
371,session_count,40,2018-04-16 01:55:00.000
372,request_count,139,2018-04-16 01:55:00.000
373,session_count,133,2018-04-16 01:56:00.000
374,sys_wkld,4,2018-04-16 01:56:00.000
375,request_count,1515,2018-04-16 03:09:00.000
376,sys_wkld,3,2018-04-16 03:10:00.000
377,request_count,1366,2018-04-16 03:13:00.000
378,basket_creates,120,2018-04-16 03:13:00.000
379,session_count,1088,2018-04-16 03:08:00.000
380,sys_wkld,10,2018-04-16 03:08:00.000
381,request_count,1525,2018-04-16 03:08:00.000
382,basket_updates,96,2018-04-16 03:09:00.000
383,basket_creates,198,2018-04-16 03:09:00.000
384,request_count,1311,2018-04-16 03:12:00.000
385,request_count,1452,2018-04-16 03:15:00.000
386,basket_updates,112,2018-04-16 03:15:00.000
387,basket_creates,136,2018-04-16 03:15:00.000
388,basket_updates,96,2018-04-16 03:16:00.000
389,basket_creates,110,2018-04-16 03:16:00.000
390,order_creates,1,2018-04-16 03:18:00.000
391,session_count,951,2018-04-16 03:18:00.000
392,sys_wkld,9,2018-04-16 03:18:00.000
393,basket_updates,160,2018-04-16 03:18:00.000
394,basket_creates,112,2018-04-16 03:18:00.000
395,sys_wkld,17,2018-04-16 03:19:00.000
396,session_count,1001,2018-04-16 03:20:00.000
397,sys_wkld,3,2018-04-16 03:20:00.000
398,sys_wkld,5,2018-04-16 03:11:00.000
399,basket_updates,88,2018-04-16 03:12:00.000
400,basket_creates,136,2018-04-16 03:12:00.000
401,basket_updates,103,2018-04-16 03:13:00.000
402,basket_updates,106,2018-04-16 03:14:00.000
403,basket_creates,123,2018-04-16 03:14:00.000
404,session_count,982,2018-04-16 03:16:00.000
405,sys_wkld,4,2018-04-16 03:16:00.000
406,request_count,1531,2018-04-16 03:16:00.000
407,basket_updates,109,2018-04-16 03:08:00.000
408,basket_creates,199,2018-04-16 03:08:00.000
409,session_count,1029,2018-04-16 03:10:00.000
410,request_count,1494,2018-04-16 03:10:00.000
411,basket_updates,121,2018-04-16 03:10:00.000
412,basket_creates,162,2018-04-16 03:10:00.000
413,session_count,921,2018-04-16 03:11:00.000
414,basket_updates,118,2018-04-16 03:11:00.000
415,basket_creates,147,2018-04-16 03:11:00.000
416,request_count,1444,2018-04-16 03:20:00.000
417,session_count,990,2018-04-16 03:21:00.000
418,sys_wkld,16,2018-04-16 03:21:00.000
419,request_count,1513,2018-04-16 03:21:00.000
420,basket_updates,143,2018-04-16 03:22:00.000
421,basket_creates,116,2018-04-16 03:22:00.000
422,basket_updates,165,2018-04-16 03:17:00.000
423,basket_creates,114,2018-04-16 03:17:00.000
424,request_count,1675,2018-04-16 03:19:00.000
425,basket_updates,105,2018-04-16 03:20:00.000
426,basket_creates,111,2018-04-16 03:20:00.000
427,session_count,1056,2018-04-16 03:22:00.000
428,sys_wkld,7,2018-04-16 03:22:00.000
429,session_count,1064,2018-04-16 03:09:00.000
430,sys_wkld,4,2018-04-16 03:09:00.000
431,request_count,1481,2018-04-16 03:11:00.000
432,session_count,931,2018-04-16 03:15:00.000
433,sys_wkld,3,2018-04-16 03:15:00.000
434,request_count,1588,2018-04-16 03:18:00.000
435,sys_wkld,3,2018-04-16 03:27:00.000
436,request_count,1075,2018-04-16 03:29:00.000
437,session_count,763,2018-04-16 03:12:00.000
438,sys_wkld,10,2018-04-16 03:12:00.000
439,session_count,798,2018-04-16 03:13:00.000
440,sys_wkld,3,2018-04-16 03:13:00.000
441,session_count,812,2018-04-16 03:14:00.000
442,sys_wkld,5,2018-04-16 03:14:00.000
443,request_count,1261,2018-04-16 03:14:00.000
444,session_count,983,2018-04-16 03:23:00.000
445,sys_wkld,13,2018-04-16 03:23:00.000
446,request_count,1497,2018-04-16 03:25:00.000
447,request_count,1146,2018-04-16 03:30:00.000
448,basket_updates,180,2018-04-16 03:31:00.000
449,basket_creates,115,2018-04-16 03:31:00.000
450,order_creates,0,2018-04-16 03:19:00.000
451,session_count,1010,2018-04-16 03:19:00.000
452,session_count,930,2018-04-16 03:24:00.000
453,sys_wkld,13,2018-04-16 03:24:00.000
454,request_count,1312,2018-04-16 03:35:00.000
455,basket_updates,181,2018-04-16 03:35:00.000
456,basket_creates,104,2018-04-16 03:35:00.000
457,sys_wkld,13,2018-04-16 03:37:00.000
458,order_creates,0,2018-04-16 03:39:00.000
459,session_count,821,2018-04-16 03:39:00.000
460,sys_wkld,2,2018-04-16 03:39:00.000
461,order_creates,1,2018-04-16 03:40:00.000
462,session_count,748,2018-04-16 03:40:00.000
463,sys_wkld,3,2018-04-16 03:40:00.000
464,request_count,1432,2018-04-16 03:40:00.000
465,basket_updates,128,2018-04-16 03:24:00.000
466,basket_creates,102,2018-04-16 03:24:00.000
467,basket_updates,135,2018-04-16 03:25:00.000
468,basket_creates,107,2018-04-16 03:25:00.000
469,basket_updates,142,2018-04-16 03:26:00.000
470,basket_creates,111,2018-04-16 03:26:00.000
471,session_count,745,2018-04-16 03:27:00.000
472,basket_updates,177,2018-04-16 03:27:00.000
473,basket_creates,113,2018-04-16 03:27:00.000
474,sys_wkld,12,2018-04-16 03:28:00.000
475,session_count,685,2018-04-16 03:30:00.000
