date_key,year,month,day,year_month
2018-10-19,2018,10,19,2018-10
2018-10-20,2018,10,20,2018-10
2018-10-21,2018,10,21,2018-10
2018-10-22,2018,10,22,2018-10
2018-10-23,2018,10,23,2018-10
2018-10-24,2018,10,24,2018-10
2018-10-25,2018,10,25,2018-10
2018-10-26,2018,10,26,2018-10
2018-10-28,2018,10,28,2018-10
2018-10-30,2018,10,30,2018-10
2018-11-01,2018,11,1,2018-11
2018-11-03,2018,11,3,2018-11
2018-11-05,2018,11,5,2018-11
2018-11-07,2018,11,7,2018-11
2018-11-09,2018,11,9,2018-11
2018-11-11,2018,11,11,2018-11
2018-11-13,2018,11,13,2018-11
2019-01-05,2019,1,5,2019-01
2019-01-07,2019,1,7,2019-01
2019-01-09,2019,1,9,2019-01
2019-01-11,2019,1,11,2019-01
2018-11-15,2018,11,15,2018-11
2018-11-17,2018,11,17,2018-11
2018-11-19,2018,11,19,2018-11
2018-10-27,2018,10,27,2018-10
2018-10-31,2018,10,31,2018-10
2019-03-20,2019,3,20,2019-03
2019-03-12,2019,3,12,2019-03
