site_id,site_code,site_display_name,site_timezone,site_currency,realm_numeric_id,realm_code,realm_timezone
3201,Sites-kiehls-emea-east-ng-Site,Sites-kiehls-emea-east-ng-Site,Europe/Prague,EUR,41,AAQP,UTC
4901,Sites-lancome-emea-east-ng-Site,Sites-lancome-emea-east-ng-Site,Europe/Prague,EUR,41,AAQP,UTC
3901,Sites-lancome-de-Site,Sites-lancome-de-Site,Europe/Paris,EUR,41,AAQP,UTC
4301,Sites-bio-de-Site,Sites-bio-de-Site,Etc/UTC,EUR,41,AAQP,UTC
2301,Sites-nyx-fr-v2-Site,Sites-nyx-fr-v2-Site,Europe/Paris,EUR,41,AAQP,UTC
5403,Sites-itc-de-Site,Sites-itc-de-Site,Etc/UTC,EUR,41,AAQP,UTC
4201,Sites-lancome-es-Site,Sites-lancome-es-Site,Europe/Paris,EUR,41,AAQP,UTC
2701,Sites-vichy-uk-Site,Sites-vichy-uk-Site,Europe/London,GBP,41,AAQP,UTC
310,Sites-nyx-Site,Sites-nyx-Site,Europe/Paris,EUR,41,AAQP,UTC
304,Sites-ysl-uk-Site,Sites-ysl-uk-Site,Europe/London,GBP,41,AAQP,UTC
102,Sites-urbandecay-Site,Sites-urbandecay-Site,Europe/Prague,EUR,41,AAQP,UTC
5702,Sites-lrp-fr-Site,Sites-lrp-fr-Site,Europe/Paris,EUR,41,AAQP,UTC
2703,Sites-lrp-uk-Site,Sites-lrp-uk-Site,Europe/London,GBP,41,AAQP,UTC
3001,Sites-mugler-uk-Site,Sites-mugler-uk-Site,Europe/London,GBP,41,AAQP,UTC
3701,Sites-lancome-fr-v2-Site,Sites-lancome-fr-v2-Site,Europe/Paris,EUR,41,AAQP,UTC
5401,Sites-skc-nl-Site,Sites-skc-nl-Site,Etc/UTC,EUR,41,AAQP,UTC
5601,Sites-friendandfamilly-uk-Site,Sites-friendandfamilly-uk-Site,Europe/London,GBP,41,AAQP,UTC
3301,Sites-valentino-emea-west-ng-Site,Sites-valentino-emea-west-ng-Site,Europe/Paris,EUR,41,AAQP,UTC
1901,Sites-mydermacenter-fr-Site,Sites-mydermacenter-fr-Site,Europe/London,EUR,41,AAQP,UTC
120,Sites-giorgioarmani-uk-Site,Sites-giorgioarmani-uk-Site,Europe/London,GBP,41,AAQP,UTC
103,Sites-dermacenter-emea-east-Site,Sites-dermacenter-emea-east-Site,Europe/Prague,EUR,41,AAQP,UTC
1303,Sites-giorgioarmani-it-Site,Sites-giorgioarmani-it-Site,Europe/London,EUR,41,AAQP,UTC
1002,Sites-house99-es-Site,Sites-house99-es-Site,Etc/UTC,EUR,41,AAQP,UTC
1801,Sites-giorgioarmani-eu-Site,Sites-giorgioarmani-eu-Site,Europe/Paris,EUR,41,AAQP,UTC
6203,Sites-kerastase-fr-loyalty-Site,Sites-kerastase-fr-loyalty-Site,Europe/Paris,EUR,41,AAQP,UTC
3202,Sites-kiehls-es-Site,Sites-kiehls-es-Site,Europe/Paris,EUR,41,AAQP,UTC
