site_id,request_date,controller_name,total_requests,total_response_time_ms,cache_hit_requests,error_requests,avg_response_time_ms,cache_hit_rate,error_rate
102,2018-10-19,Cart-Show,2,1130,0,0,565.0,0.0,0.0
102,2018-10-19,CustomerService-ContactUsForm,8,106,0,0,13.25,0.0,0.0
102,2018-10-19,Home-Show,75,1295,0,0,17.266666666666666,0.0,0.0
102,2018-10-19,Login-UtilityLogin,4,641,0,0,160.25,0.0,0.0
102,2018-10-19,Product-GetDWRecommendations,590,27591,0,0,46.764406779661016,0.0,0.0
102,2018-10-19,Product-UpdateMail,1,448,0,0,448.0,0.0,0.0
102,2018-10-19,Product-Variation,1350,1343932,0,0,995.5051851851852,0.0,0.0
102,2018-10-19,RedirectURL-Start,1,248,0,0,248.0,0.0,0.0
102,2018-10-19,Search-Show,9,2240,0,0,248.88888888888889,0.0,0.0
102,2018-10-19,Stores-Show,2,839,0,0,419.5,0.0,0.0
102,2018-10-20,COBilling-UpdatePaymentMethodList,75,18247,0,0,243.29333333333332,0.0,0.0
102,2018-10-20,COSingleCheckout-StartRegistration,2,427,0,0,213.5,0.0,0.0
102,2018-10-20,COSingleCheckout-Submit,1,1604,0,0,1604.0,0.0,0.0
102,2018-10-20,Cart-AddProduct,86,92029,0,0,1070.1046511627908,0.0,0.0
102,2018-10-20,CustomerService-ContactUsForm,4,1630,0,0,407.5,0.0,0.0
102,2018-10-20,CustomerService-FAQ,2,605,0,0,302.5,0.0,0.0
102,2018-10-20,DataLayer-GetCustomerInformation,5,131,0,0,26.2,0.0,0.0
102,2018-10-20,Home-Show,19,2726,1,0,143.47368421052633,0.05263157894736842,0.0
102,2018-10-20,Login-ProcessLogin,147,13503,0,0,91.85714285714286,0.0,0.0
102,2018-10-20,Newsletter-ShowConfirmation,1,28,0,0,28.0,0.0,0.0
102,2018-10-20,Page-Show,18,726,1,0,40.333333333333336,0.05555555555555555,0.0
102,2018-10-20,Product-GetAvailability,31,929,0,0,29.967741935483872,0.0,0.0
102,2018-10-20,Product-GetDWRecommendations,533,25567,0,0,47.968105065666045,0.0,0.0
102,2018-10-20,Product-Show,642,162934,1,0,253.79127725856696,0.001557632398753894,0.0
102,2018-10-20,Product-Variation,1,38,1,0,38.0,1.0,0.0
102,2018-10-20,Search-ShowContent,8,68,0,0,8.5,0.0,0.0
102,2018-10-20,ShippingMethods-GetStoredInDepotDeliveryPoints,10,1924,0,0,192.4,0.0,0.0
102,2018-10-20,SiteSearchSuggestions-Show,4,1833,0,0,458.25,0.0,0.0
102,2018-10-20,Stores-Show,7,1967,0,0,281.0,0.0,0.0
102,2018-10-20,UDNewsletter-SubscribeStart,2,680,0,0,340.0,0.0,0.0
102,2018-10-20,UDSkin-GetShadeProducts,12,4527,0,0,377.25,0.0,0.0
102,2018-10-20,__Analytics-Start,71,951,0,0,13.394366197183098,0.0,0.0
102,2018-10-21,Account-PasswordResetDialog,1,116,0,0,116.0,0.0,0.0
102,2018-10-21,CL_Checkout-GetShippingAddressBlock,7,410,0,0,58.57142857142857,0.0,0.0
102,2018-10-21,COSingleCheckout-HandleAddresses,1,462,0,0,462.0,0.0,0.0
102,2018-10-21,COSingleCheckout-RequireAddressCheck,146,36773,0,0,251.86986301369862,0.0,0.0
102,2018-10-21,COSingleCheckout-StartRegistration,1,174,0,0,174.0,0.0,0.0
