site_id,request_date,main_controller_name,controller_name,total_requests,total_response_time_ms,cache_hit_requests,error_requests,avg_response_time_ms,total_requests_main,percent_of_main_requests
102,2018-10-16,Account-EditProfile,CookiePolicy-ShowBanner,3,38,0,0,12.666666666666666,6,0.5
102,2018-10-16,Account-EditProfile,Home-IncludeHeaderCustomerInfo,3,68,0,0,22.666666666666668,6,0.5
102,2018-10-16,Account-Show,Cart-MiniCart,9,634,0,0,70.44444444444444,27,0.3333333333333333
102,2018-10-16,Account-Show,Home-IncludeHeader,9,3,1,0,0.3333333333333333,27,0.3333333333333333
102,2018-10-16,Account-Show,Page-Include,9,173,0,0,19.22222222222222,27,0.3333333333333333
102,2018-10-16,COSingleCheckout-HandleAddresses,Page-Include,47,75,1,0,1.5957446808510638,47,1.0
102,2018-10-16,COSingleCheckout-Submit,Page-Include,4,11,1,0,2.75,8,0.5
102,2018-10-16,COSingleCheckout-Submit,__SYSTEM__Slot-Request,4,34,1,0,8.5,8,0.5
102,2018-10-16,COUtils-RemoveGiftCertificate,__SYSTEM__Slot-Request,1,0,1,0,0.0,1,1.0
102,2018-10-16,Cart-AddProduct,__SYSTEM__Slot-Request,92,83,1,0,0.9021739130434783,92,1.0
102,2018-10-16,CookiePolicy-ShowBanner,Home-Show,94,7992,0,0,85.02127659574468,95,0.9894736842105263
102,2018-10-16,CookiePolicy-ShowBanner,Loyalty-Invite,1,7,0,0,7.0,95,0.010526315789473684
102,2018-10-16,CustomerService-FAQ,Page-Include,3,11,1,0,3.6666666666666665,6,0.5
102,2018-10-16,CustomerService-FAQ,__SYSTEM__Slot-Request,3,85,0,0,28.333333333333332,6,0.5
102,2018-10-16,DataLayer-GetCustomerInformation,Account-Show,2,36,0,0,18.0,6,0.3333333333333333
102,2018-10-16,DataLayer-GetCustomerInformation,Order-History,4,25,0,0,6.25,6,0.6666666666666666
102,2018-10-16,Default-Start,__SYSTEM__Slot-Request,6,60,1,0,10.0,6,1.0
102,2018-10-16,Home-IncludeHeader,UDPro-Show,1,1,1,0,1.0,20,0.05
102,2018-10-16,Home-IncludeHeader,Utils-CSRFInputField,19,1001,0,0,52.68421052631579,20,0.95
102,2018-10-16,Home-IncludeHeaderCustomerInfo,Home-Show,94,11522,0,0,122.57446808510639,108,0.8703703703703703
102,2018-10-16,Home-IncludeHeaderCustomerInfo,Search-ShowContent,14,215,0,0,15.357142857142858,108,0.12962962962962962
102,2018-10-16,Home-IncludeHeaderMenu,Pro-Signup,3,2,1,0,0.6666666666666666,6,0.5
102,2018-10-16,Home-IncludeHeaderMenu,Search-Show,3,260,0,0,86.66666666666667,6,0.5
102,2018-10-16,Home-IncludeHeaderloginpopupplacementWelcomeback,Search-ShowContent,2,0,1,0,0.0,2,1.0
102,2018-10-16,Home-IncludeSignoutLink,Search-ShowContent,1,1,1,0,1.0,1,1.0
102,2018-10-16,Home-Show,Resources-Load,186,2950,1,0,15.86021505376344,372,0.5
102,2018-10-16,Home-Show,Utils-CSRFInputField,186,19766,0,0,106.26881720430107,372,0.5
102,2018-10-16,LocaleSwitch-GetLanguageURLS,Page-Show,3,58,0,0,19.333333333333332,3,1.0
102,2018-10-16,Newsletter-Subscribe,Default-Start,2,0,1,0,0.0,4,0.5
102,2018-10-16,Newsletter-Subscribe,Loyalty-Invite,1,0,1,0,0.0,4,0.25
102,2018-10-16,Newsletter-Subscribe,Wishlist-Favorites,1,0,1,0,0.0,4,0.25
102,2018-10-16,Order-Search,CSSUtil-AgentInfoInHeader,3,47,0,0,15.666666666666666,3,1.0
102,2018-10-16,Page-Include,Address-Add,1,35,0,0,35.0,45,0.022222222222222223
102,2018-10-16,Page-Include,CustomerService-FAQ,2,17,0,0,8.5,45,0.044444444444444446
102,2018-10-16,Page-Include,PayU-PaymentSuccess,6,136,0,0,22.666666666666668,45,0.13333333333333333
102,2018-10-16,Page-Include,Paypal-AfterCorrectAddresses,8,1516,0,0,189.5,45,0.17777777777777778
102,2018-10-16,Page-Include,UDPro-Show,1,4,1,0,4.0,45,0.022222222222222223
102,2018-10-16,Page-Include,UDWishlist-AddFavorite,27,84,1,0,3.111111111111111,45,0.6
102,2018-10-16,Pro-Signup,Resources-Load,6,6,1,0,1.0,6,1.0
102,2018-10-16,Product-Show,CookiePolicy-ShowBanner,194,25957,0,0,133.79896907216494,202,0.9603960396039604
102,2018-10-16,Product-Show,Home-IncludeHeaderMenu,8,1425,0,0,178.125,202,0.039603960396039604
102,2018-10-16,Product-Variation,Newsletter-Subscribe,1,37,0,0,37.0,2,0.5
102,2018-10-16,Product-Variation,Resources-Load,1,112,0,0,112.0,2,0.5
102,2018-10-16,Resources-Load,Cart-Show,7,649,0,0,92.71428571428571,7,1.0
102,2018-10-16,Search-Show,Page-Include,188,9798,0,0,52.11702127659574,188,1.0
102,2018-10-16,Search-ShowContent,Newsletter-Subscribe,54,39,1,0,0.7222222222222222,98,0.5510204081632653
102,2018-10-16,Search-ShowContent,Resources-Load,44,95,1,0,2.159090909090909,98,0.4489795918367347
102,2018-10-16,UDPro-Show,Page-Include,1,23,0,0,23.0,3,0.3333333333333333
102,2018-10-16,UDPro-Show,Utils-CSRFInputField,2,20,0,0,10.0,3,0.6666666666666666
102,2018-10-16,UDSkin-Calibrator,Home-IncludeHeader,9,4,1,0,0.4444444444444444,27,0.3333333333333333
